 报告日期,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),178495,132735,112052,119581, 
 客户存款和同业存放款项净增加额(万元),0,--,0,--, 
 向中央银行借款净增加额(万元,0,--,0,--, 
 向其他金融机构拆入资金净增加额(万元),0,--,0,--, 
 收到原保险合同保费取得的现金(万元),0,--,0,--, 
 收到再保险业务现金净额(万元),0,--,0,--, 
 保户储金及投资款净增加额(万元),0,--,0,--, 
 处置交易性金融资产净增加额(万元),0,--,0,--, 
 收取利息、手续费及佣金的现金(万元),0,--,0,--, 
 拆入资金净增加额(万元),0,--,0,--, 
 回购业务资金净增加额(万元),0,--,0,--, 
 收到的税费返还(万元),10660,10603,8607,7556, 
 收到的其他与经营活动有关的现金(万元),729,388,552,846, 
 经营活动现金流入小计(万元),189884,143726,121211,127983, 
 购买商品、接受劳务支付的现金(万元),122422,102810,84492,89944, 
 客户贷款及垫款净增加额(万元),0,--,0,--, 
 存放中央银行和同业款项净增加额(万元),0,--,0,--, 
 支付原保险合同赔付款项的现金(万元),0,--,0,--, 
 支付利息、手续费及佣金的现金(万元),0,--,0,--, 
 支付保单红利的现金(万元),0,--,0,--, 
 支付给职工以及为职工支付的现金(万元),11354,8501,7989,5574, 
 支付的各项税费(万元),18717,11722,10161,11288, 
 支付的其他与经营活动有关的现金(万元),6731,6281,4882,5847, 
 经营活动现金流出小计(万元),159224,129314,107524,112653, 
 经营活动产生的现金流量净额(万元),30661,14412,13687,15330, 
 收回投资所收到的现金(万元),825,1192,0,--, 
 取得投资收益所收到的现金(万元),1,--,1,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2852,4643,1896,988, 
 处置子公司及其他营业单位收到的现金净额(万元),0,--,0,--, 
 收到的其他与投资活动有关的现金(万元),0,--,0,1623, 
 减少质押和定期存款所收到的现金(万元),0,--,0,--, 
 投资活动现金流入小计(万元),3678,5835,1897,2610, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),10549,3906,2295,3647, 
 投资所支付的现金(万元),0,--,1129,--, 
 质押贷款净增加额(万元),0,--,0,--, 
 取得子公司及其他营业单位支付的现金净额(万元),768,--,-0,753, 
 支付的其他与投资活动有关的现金(万元),0,--,0,--, 
 增加质押和定期存款所支付的现金(万元),0,--,0,--, 
 投资活动现金流出小计(万元),11318,3906,3424,4399, 
 投资活动产生的现金流量净额(万元),-7640,1929,-1527,-1789, 
 吸收投资收到的现金(万元),0,--,0,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),0,--,0,--, 
 取得借款收到的现金(万元),51400,66000,54460,49900, 
 发行债券收到的现金(万元),0,--,0,--, 
 收到其他与筹资活动有关的现金(万元),6873,7943,9800,1568, 
 筹资活动现金流入小计(万元),58273,73943,64260,51468, 
 偿还债务支付的现金(万元),54040,66800,62056,59100, 
 分配股利、利润或偿付利息所支付的现金(万元),5447,6723,7047,6527, 
 其中：子公司支付给少数股东的股利、利润(万元),0,--,0,--, 
 支付其他与筹资活动有关的现金(万元),4000,13800,2049,180, 
 筹资活动现金流出小计(万元),63487,87323,71152,65807, 
 筹资活动产生的现金流量净额(万元),-5214,-13379,-6892,-14339, 
 汇率变动对现金及现金等价物的影响(万元),-0,--,0,--, 
 现金及现金等价物净增加额(万元),17807,2962,5268,-799, 
 加:期初现金及现金等价物余额(万元),17361,14399,9132,9930, 
 期末现金及现金等价物余额(万元),35168,17361,14399,9132, 
 净利润(万元),9307,4750,5098,6048, 
 少数股东损益(万元),0,--,2401,--, 
 未确认的投资损失(万元),0,--,0,--, 
 资产减值准备(万元),967,223,1097,509, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),11245,10604,10742,10853, 
 无形资产摊销(万元),127,117,255,255, 
 长期待摊费用摊销(万元),5,2,2,2, 
 待摊费用的减少(万元),0,--,0,--, 
 预提费用的增加(万元),0,--,0,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),1667,178,440,249, 
 固定资产报废损失(万元),0,--,0,--, 
 公允价值变动损失(万元),0,--,0,--, 
 递延收益增加(减：减少)(万元),0,--,0,--, 
 预计负债(万元),0,--,0,--, 
 财务费用(万元),4427,5707,5258,4722, 
 投资损失(万元),461,-12,-166,124, 
 递延所得税资产减少(万元),62,-14,-168,-159, 
 递延所得税负债增加(万元),0,--,0,--, 
 存货的减少(万元),10661,-6821,-3114,-679, 
 经营性应收项目的减少(万元),-7474,12734,-17508,-53, 
 经营性应付项目的增加(万元),-3049,-13058,9352,-6542, 
 已完工尚未结算款的减少(减:增加)(万元),0,--,0,--, 
 已结算尚未完工款的增加(减:减少)(万元),0,--,0,--, 
 其他(万元),2254,--,0,--, 
 经营活动产生现金流量净额(万元),30661,14412,13687,15330, 
 债务转为资本(万元),0,--,0,--, 
 一年内到期的可转换公司债券(万元),0,--,0,--, 
 融资租入固定资产(万元),0,--,0,--, 
 现金的期末余额(万元),35168,17361,14399,9132, 
 现金的期初余额(万元),17361,14399,9132,9930, 
 现金等价物的期末余额(万元),0,--,0,--, 
 现金等价物的期初余额(万元),0,--,0,--, 
 现金及现金等价物的净增加额(万元),17807,2962,5268,-799, 

