 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),733019,580481,384902,384563,441418, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),45757,40485,34386,32534,27243, 
 收到的其他与经营活动有关的现金(万元),227875,69239,60473,78430,120341, 
 经营活动现金流入小计(万元),1006651,690204,479761,495527,589001, 
 购买商品、接受劳务支付的现金(万元),719149,578515,395446,309061,379214, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),37802,35647,32273,27200,22536, 
 支付的各项税费(万元),16361,16911,11813,12481,12709, 
 支付的其他与经营活动有关的现金(万元),217609,64986,81397,74095,90261, 
 经营活动现金流出小计(万元),990922,696060,520930,422837,504721, 
 经营活动产生的现金流量净额(万元),15730,-5855,-41168,72691,84280, 
 收回投资所收到的现金(万元),--,793,--,--,15315, 
 取得投资收益所收到的现金(万元),455,1608,324,5189,538, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1645,25,273,53,233, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),432405,40317,105791,131351,27502, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),434504,42744,106388,136592,43588, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),33739,8347,19509,8267,9121, 
