 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),66452,62385,44348,34405,29730,19199,7311, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),435,648,615,31,--,--,--, 
 收到的其他与经营活动有关的现金(万元),57426,589,1413,727,2101,2355,657, 
 经营活动现金流入小计(万元),124313,63622,46377,35163,31830,21554,7968, 
 购买商品、接受劳务支付的现金(万元),69763,39165,26482,25995,18535,13345,6626, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),10190,6817,4905,4615,3602,2336,2223, 
 支付的各项税费(万元),4425,2245,825,748,457,135,103, 
 支付的其他与经营活动有关的现金(万元),4472,2512,1608,2039,1815,2320,1152, 
 经营活动现金流出小计(万元),88850,50739,33820,33397,24409,18136,10105, 
 经营活动产生的现金流量净额(万元),35463,12883,12557,1766,7421,3418,-2136, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),15422,26,87,--,75,--,1378, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),483,124,76,1255,4074,5049,3075, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),15905,150,163,1255,4149,5049,4453, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),127297,12629,4917,14063,12288,11506,6267, 
 投资所支付的现金(万元),--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),127297,12629,4917,14063,12288,11506,6267, 
 投资活动产生的现金流量净额(万元),-111393,-12479,-4754,-12807,-8138,-6458,-1814, 
 吸收投资收到的现金(万元),1178,18141,--,6990,--,--,3350, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),113573,34083,14798,17213,11791,10773,3105, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),3628,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),118379,52224,14798,24204,11791,10773,6455, 
 偿还债务支付的现金(万元),44494,25816,20058,13694,9142,10478,2142, 
 分配股利、利润或偿付利息所支付的现金(万元),5012,1825,1617,1206,1553,742,716, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,7293,--,--,--,--,--, 
 筹资活动现金流出小计(万元),49506,34933,21675,14899,10694,11221,2857, 
 筹资活动产生的现金流量净额(万元),68873,17291,-6877,9304,1097,-448,3597, 
 汇率变动对现金及现金等价物的影响(万元),-1205,-142,-64,-434,-28,-2,-5, 
 现金及现金等价物净增加额(万元),-8261,17553,862,-2171,352,-3489,-358, 
 加:期初现金及现金等价物余额(万元),19866,2314,1452,3623,3271,6760,7118, 
 期末现金及现金等价物余额(万元),11605,19866,2314,1452,3623,3271,6760, 
 净利润(万元),2037,11003,6061,2342,5705,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),2164,340,302,903,370,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),4810,6456,6215,5306,3721,--,--, 
 无形资产摊销(万元),167,156,137,111,81,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-13590,-28,-64,--,-52,--,--, 
 固定资产报废损失(万元),49,3,--,6,--,--,--, 
 公允价值变动损失(万元),-11,23,-11,-12,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),4638,696,889,1400,685,--,--, 
 投资损失(万元),-220,-17,-37,--,--,--,--, 
 递延所得税资产减少(万元),-4058,-96,-24,-211,97,--,--, 
 递延所得税负债增加(万元),2,-3,2,2,--,--,--, 
 存货的减少(万元),-11495,-2561,1054,-2513,-3583,--,--, 
 经营性应收项目的减少(万元),-29505,-10176,-13071,-8493,-3442,--,--, 
 经营性应付项目的增加(万元),23999,7086,11103,1973,3840,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),56478,--,--,954,--,--,--, 
 经营活动产生现金流量净额(万元),35463,12883,12557,1766,7421,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),11605,19866,2314,1452,3623,3271,6760, 
 现金的期初余额(万元),19866,2314,1452,3623,3271,6760,7118, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-8261,17553,862,-2171,352,-3489,-358, 

