 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31, 
 销售商品、提供劳务收到的现金(万元),477786,400345,307790,214684, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--, 
 收到的税费返还(万元),7107,1756,1159,829, 
 收到的其他与经营活动有关的现金(万元),13145,2202,1595,130, 
 经营活动现金流入小计(万元),498038,404304,310545,215642, 
 购买商品、接受劳务支付的现金(万元),365030,330965,233575,178483, 
 客户贷款及垫款净增加额(万元),--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),40510,29438,23311,17589, 
 支付的各项税费(万元),11761,11625,9626,5444, 
 支付的其他与经营活动有关的现金(万元),39130,31308,17649,14476, 
 经营活动现金流出小计(万元),456430,403335,284160,215992, 
 经营活动产生的现金流量净额(万元),41608,968,26385,-350, 
 收回投资所收到的现金(万元),48080,22584,37018,--, 
 取得投资收益所收到的现金(万元),134,359,61,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),128,39,108,2, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--, 
 投资活动现金流入小计(万元),48342,22982,37187,2, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),8698,2069,1049,2868, 
 投资所支付的现金(万元),62188,22270,37176,143, 
 质押贷款净增加额(万元),--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,949, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--, 
 投资活动现金流出小计(万元),70886,24338,38225,3960, 
 投资活动产生的现金流量净额(万元),-22544,-1356,-1037,-3958, 
 吸收投资收到的现金(万元),3860,22556,141,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),3860,206,141,--, 
 取得借款收到的现金(万元),24519,26110,14989,17381, 
 发行债券收到的现金(万元),--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),293,--,397,4374, 
 筹资活动现金流入小计(万元),28672,48666,15527,21755, 
 偿还债务支付的现金(万元),32563,19991,19551,6164, 
 分配股利、利润或偿付利息所支付的现金(万元),21463,1129,752,525, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),682,6663,4798,2750, 
 筹资活动现金流出小计(万元),54709,27783,25101,9439, 
 筹资活动产生的现金流量净额(万元),-26037,20883,-9574,12316, 
 汇率变动对现金及现金等价物的影响(万元),1325,-628,382,-0, 
 现金及现金等价物净增加额(万元),-5648,19867,16155,8008, 
 加:期初现金及现金等价物余额(万元),48203,28336,12180,4172, 
 期末现金及现金等价物余额(万元),42555,48203,28336,12180, 
 净利润(万元),33790,20500,6775,5550, 
 少数股东损益(万元),--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--, 
 资产减值准备(万元),3202,1678,1874,803, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1163,1051,883,429, 
 无形资产摊销(万元),137,24,11,7, 
 长期待摊费用摊销(万元),743,563,485,271, 
 待摊费用的减少(万元),--,--,--,--, 
 预提费用的增加(万元),--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),26,70,2,23, 
 固定资产报废损失(万元),--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--, 
 预计负债(万元),--,--,--,--, 
 财务费用(万元),199,1455,481,561, 
 投资损失(万元),-134,-269,-165,--, 
 递延所得税资产减少(万元),-1286,-656,-620,-262, 
 递延所得税负债增加(万元),-6,-6,-6,--, 
 存货的减少(万元),-10571,-21264,-6073,-21336, 
 经营性应收项目的减少(万元),-3792,-22720,-7076,-6559, 
 经营性应付项目的增加(万元),21920,27953,21878,21993, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--, 
 其他(万元),-3782,-7410,7937,--, 
 经营活动产生现金流量净额(万元),41608,968,26385,-350, 
 债务转为资本(万元),--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--, 
 现金的期末余额(万元),42555,48203,28336,12180, 
 现金的期初余额(万元),48203,28336,12180,4172, 
 现金等价物的期末余额(万元),--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--, 
 现金及现金等价物的净增加额(万元),-5648,19867,16155,8008, 

