 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),43621,18855,20680,20480,15699,29524,15967,10348, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),89,72,98,122,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),3041,791,790,1707,1781,1360,1409,336, 
 经营活动现金流入小计(万元),46750,19717,21569,22309,17480,30884,17376,10684, 
 购买商品、接受劳务支付的现金(万元),23392,15524,10882,7584,7854,16033,5861,4309, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5218,4163,3562,3501,3414,2854,2339,1552, 
 支付的各项税费(万元),4195,3006,2862,3735,3443,2714,2603,1332, 
 支付的其他与经营活动有关的现金(万元),3852,4660,2703,3086,4121,3824,3244,2533, 
 经营活动现金流出小计(万元),36657,27354,20009,17906,18832,25425,14048,9726, 
 经营活动产生的现金流量净额(万元),10093,-7637,1560,4404,-1352,5459,3328,958, 
 收回投资所收到的现金(万元),83100,38900,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),329,276,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),123,18,5,4,14,0,0,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,240,850,1520,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),83552,39194,5,4,254,850,1520,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),6470,290,167,707,1511,3554,1286,2789, 
 投资所支付的现金(万元),81900,48900,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),1435,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),89805,49190,167,707,1511,3554,1286,2789, 
 投资活动产生的现金流量净额(万元),-6254,-9996,-162,-703,-1257,-2703,234,-2788, 
 吸收投资收到的现金(万元),2599,16390,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),5270,--,--,--,--,1000,1500,1500, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,683,--,--,154, 
 筹资活动现金流入小计(万元),7869,16390,0,0,683,1000,1500,1654, 
 偿还债务支付的现金(万元),2316,--,--,--,1000,1500,1500,--, 
 分配股利、利润或偿付利息所支付的现金(万元),1445,1583,480,480,507,594,563,600, 
 其中：子公司支付给少数股东的股利、利润(万元),--,300,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,753,742,944,120,451,964,--, 
 筹资活动现金流出小计(万元),3761,2336,1223,1424,1627,2545,3027,600, 
 筹资活动产生的现金流量净额(万元),4108,14054,-1223,-1424,-943,-1545,-1527,1054, 
 汇率变动对现金及现金等价物的影响(万元),3,-6,31,6,--,--,--,--, 
 现金及现金等价物净增加额(万元),7951,-3585,206,2283,-3552,1211,2035,-776, 
 加:期初现金及现金等价物余额(万元),3260,6845,6639,4356,7908,6697,4662,5439, 
 期末现金及现金等价物余额(万元),11211,3260,6845,6639,4356,7908,6697,4662, 
 净利润(万元),5761,4580,4352,5047,5947,6884,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--, 
 资产减值准备(万元),1759,1262,439,570,554,368,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1033,1073,1074,1014,859,777,--,--, 
 无形资产摊销(万元),102,64,248,251,253,242,--,--, 
 长期待摊费用摊销(万元),64,47,44,41,78,39,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-4,-4,2,-0,39,13,--,--, 
 固定资产报废损失(万元),22,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--, 
 财务费用(万元),112,6,-31,-6,26,108,--,--, 
 投资损失(万元),-409,-260,--,--,--,--,--,--, 
