 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),743303,738701,525412,717241,758321,743778,638363,590517,540095,475076, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,2888,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),4996,12586,12059,10093,42942,5119,6388,22292,5083,4599, 
 经营活动现金流入小计(万元),748299,751286,537471,727334,801263,751784,644751,612809,545178,479675, 
 购买商品、接受劳务支付的现金(万元),151674,159789,99535,111154,117705,112175,91601,97756,101032,99366, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),205633,199334,205342,242737,235925,222127,196222,151091,135116,121749, 
 支付的各项税费(万元),90042,56395,36496,94417,98145,80433,91388,75698,62000,63653, 
 支付的其他与经营活动有关的现金(万元),31230,46928,47211,46902,51107,50130,49563,37713,31106,46430, 
 经营活动现金流出小计(万元),478578,462447,388584,495210,502882,464865,428773,362259,329254,331197, 
