 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),15921837,12115049,5639348,13975317,--,--,14857069, 
 向中央银行借款净增加额(万元,2133700,--,10418683,636250,--,7450,4000, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),630502,447535,253759,326911,44680,257552,141764, 
 收取利息、手续费及佣金的现金(万元),5890262,4210885,3849217,4406502,4119548,3608004,2893936, 
 拆入资金净增加额(万元),1654768,284997,1873249,599445,150179,571373,44776, 
 回购业务资金净增加额(万元),--,--,4388659,352195,--,1675961,117998, 
 收到的税费返还(万元),--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),396117,210138,132952,182338,138396,37157,45503, 
 经营活动现金流入小计(万元),27868635,17152885,30598102,20478956,21718365,22879300,18105045, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),19131424,11311278,2127377,5725362,4687364,5155637,5465458, 
 存放中央银行和同业款项净增加额(万元),--,1488510,434043,915005,1226764,1204544,9151397, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),3809260,3055671,2771938,2914661,2985922,2069396,1616167, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),470261,442630,435815,414196,390240,349086,298573, 
 支付的各项税费(万元),668360,361749,561060,522154,466566,342352,281674, 
 支付的其他与经营活动有关的现金(万元),320043,526322,518016,723545,130460,206994,214973, 
 经营活动现金流出小计(万元),30041934,23229614,13513510,14464648,11114238,9925930,17717128, 
 经营活动产生的现金流量净额(万元),-2173299,-6076729,17084591,6014308,10604127,12953370,387917, 
 收回投资所收到的现金(万元),56804458,86577312,200616639,168479091,37684064,10893485,15519781, 
 取得投资收益所收到的现金(万元),3177509,3746139,2980150,2219966,1728412,960915,515460, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),746,2666,13367,259,891,8,251, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),59982714,90326117,203610156,170699315,39413368,11854408,16035492, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),143217,49886,135365,175462,83984,89515,103647, 
 投资所支付的现金(万元),58548929,78433959,233558967,189107649,47223197,24348142,17473724, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,586,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),58692146,78483844,233694332,189283111,47307181,24438243,17577371, 
 投资活动产生的现金流量净额(万元),1290568,11842273,-30084175,-18583796,-7893814,-12583834,-1541879, 
 吸收投资收到的现金(万元),148,--,1046129,540399,619501,656300,16170, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),88283222,59539980,35174331,24572890,4593017,--,498910, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),88283369,61535697,36220460,25113288,5212518,656300,515080, 
 偿还债务支付的现金(万元),86178138,66572324,24992597,16356658,1992934,--,277000, 
 分配股利、利润或偿付利息所支付的现金(万元),1241092,562714,89731,168340,134821,136235,103881, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),87419230,67135038,25082328,16524999,2127755,136235,380881, 
 筹资活动产生的现金流量净额(万元),864140,-5599341,11138132,8588290,3084763,520065,134200, 
 汇率变动对现金及现金等价物的影响(万元),51476,-54399,49744,22979,10225,-10372,-3483, 
 现金及现金等价物净增加额(万元),32884,111803,-1811708,-3958219,5805302,879229,-1023246, 
 加:期初现金及现金等价物余额(万元),8507293,8395490,10207198,14165418,8360116,7480887,8504133, 
 期末现金及现金等价物余额(万元),8540177,8507293,8395490,10207198,14165418,8360116,7480887, 
 净利润(万元),1806784,1533679,1432506,1304314,1139971,935994,--, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),1533190,867132,957634,783444,528857,213553,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),74417,66782,75161,71890,72911,67224,--, 
 无形资产摊销(万元),--,--,--,--,--,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),687,-991,530,403,335,138,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--, 
 公允价值变动损失(万元),-465248,556991,-211908,35243,-38114,17445,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),-1698586,-1758566,-2377696,-2038133,-1704887,-942570,--, 
 投资损失(万元),-763192,-898188,-223231,-103945,2792,-22068,--, 
 递延所得税资产减少(万元),-229753,-247202,-101882,-126075,-81738,-7786,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--, 
 存货的减少(万元),--,--,--,--,--,--,--, 
 经营性应收项目的减少(万元),-20839994,-14887700,159825,-9631807,-5888360,-1946215,--, 
 经营性应付项目的增加(万元),18452311,8674513,17417218,15741412,16587118,14634772,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),-2173299,-6076729,17084591,6014308,10604127,12953370,--, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),8540177,8507293,8395490,10207198,14165418,8360116,7480887, 
 现金的期初余额(万元),8507293,8395490,10207198,14165418,8360116,7480887,8504133, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),32884,111803,-1811708,-3958219,5805302,879229,-1023246, 

