 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),249464,285504,301159,185269,139843,102368,86005,69045,40649,18785,15248, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),997,332,220,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),37281,23879,9609,2937,1316,1225,1882,902,241,66,96, 
 经营活动现金流入小计(万元),287741,309714,310988,188206,141159,103593,87887,69947,40890,18851,15344, 
 购买商品、接受劳务支付的现金(万元),177875,180635,205304,95269,89910,65870,57500,46670,28072,13004,11030, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),10660,9796,10664,10140,7161,4956,4237,2848,1925,648,685, 
 支付的各项税费(万元),15907,17810,17063,17204,13018,6816,9337,6457,2083,1380,915, 
 支付的其他与经营活动有关的现金(万元),70911,32752,29307,13698,13531,8529,8410,6398,4562,2801,2693, 
 经营活动现金流出小计(万元),275352,240993,262338,136311,123621,86171,79485,62374,36643,17833,15323, 
 经营活动产生的现金流量净额(万元),12389,68721,48650,51896,17538,17422,8402,7573,4247,1018,21, 
 收回投资所收到的现金(万元),321500,472150,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),1609,1365,1568,124,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),11,100,145,--,21,--,12,--,--,51,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,190,12056,2051,251,313,1301,370,--,4,9, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),323119,473804,13769,2175,272,313,1313,370,0,54,9, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),9672,25892,114574,57053,52742,20398,23128,4387,6505,1963,1262, 
 投资所支付的现金(万元),321500,463161,24000,--,--,2000,--,--,50,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,3951,--,8588,999,--,1,--,843,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,10070,80,--,--,--,--,--,11, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),331172,489052,142525,67123,61410,23397,23128,4388,6555,2806,1273, 
 投资活动产生的现金流量净额(万元),-8053,-15248,-128757,-64949,-61138,-23084,-21816,-4018,-6555,-2752,-1264, 
 吸收投资收到的现金(万元),--,958,1554,198945,1350,--,300,77702,--,2500,1250, 
