 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),225014,183167,198673,178295,183684,162003,151451, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),8729,3724,1818,3676,3730,2397,649, 
 收到的其他与经营活动有关的现金(万元),2515,2631,1423,1603,1843,2554,3434, 
 经营活动现金流入小计(万元),236259,189522,201914,183574,189257,166954,155534, 
 购买商品、接受劳务支付的现金(万元),144840,88823,78327,99729,132114,118477,100094, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),36377,29872,23332,19890,18532,18073,16701, 
 支付的各项税费(万元),18766,17688,15206,12190,11720,13290,13750, 
 支付的其他与经营活动有关的现金(万元),7433,6620,5132,4521,5448,5539,6200, 
 经营活动现金流出小计(万元),207416,143002,121998,136331,167814,155379,136745, 
 经营活动产生的现金流量净额(万元),28843,46520,79916,47243,21443,11575,18788, 
 收回投资所收到的现金(万元),163882,5,2005,--,--,--,--, 
 取得投资收益所收到的现金(万元),1070,53,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),18,44,99,5,20,41,2, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),65,215,308,86,46,500,430, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),165035,318,2412,91,66,541,432, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),36450,21765,5844,3949,7339,30940,41967, 
 投资所支付的现金(万元),133882,30005,2005,150,--,--,2798, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,8064, 
 支付的其他与投资活动有关的现金(万元),--,641,207,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),170333,52411,8056,4099,7339,30940,52828, 
 投资活动产生的现金流量净额(万元),-5298,-52093,-5645,-4008,-7274,-30400,-52396, 
 吸收投资收到的现金(万元),--,57490,--,--,--,--,7590, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),79424,77949,180533,245035,250492,251459,239454, 
 发行债券收到的现金(万元),52170,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),2127,12941,19711,32131,33352,22881,47687, 
 筹资活动现金流入小计(万元),133721,148380,200244,277166,283844,274339,294731, 
 偿还债务支付的现金(万元),74367,128259,222703,274044,276484,216821,215332, 
 分配股利、利润或偿付利息所支付的现金(万元),14319,6884,7152,11064,11776,12228,14627, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),10121,10805,31574,32263,17141,20752,39098, 
 筹资活动现金流出小计(万元),98807,145948,261429,317371,305401,249800,269058, 
 筹资活动产生的现金流量净额(万元),34913,2432,-61185,-40205,-21557,24539,25674, 
 汇率变动对现金及现金等价物的影响(万元),288,-325,343,-73,107,279,74, 
 现金及现金等价物净增加额(万元),58746,-3466,13430,2957,-7280,5993,-7860, 
 加:期初现金及现金等价物余额(万元),29827,33293,19863,16906,24186,18192,26053, 
 期末现金及现金等价物余额(万元),88573,29827,33293,19863,16906,24186,18192, 
 净利润(万元),34460,36652,22756,4140,8064,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),2208,973,1815,5190,2910,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),15555,16832,17115,17338,15889,--,--, 
 无形资产摊销(万元),373,332,300,340,363,--,--, 
 长期待摊费用摊销(万元),384,215,147,58,62,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),13,54,316,12,103,--,--, 
 固定资产报废损失(万元),25,32,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),1989,3769,7050,11481,10548,--,--, 
 投资损失(万元),-856,94,-218,--,--,--,--, 
 递延所得税资产减少(万元),124,776,368,-330,-627,--,--, 
 递延所得税负债增加(万元),84,--,--,--,--,--,--, 
 存货的减少(万元),-17806,-10448,10164,12423,-1921,--,--, 
 经营性应收项目的减少(万元),-8863,17226,22275,3527,-18198,--,--, 
 经营性应付项目的增加(万元),1439,-19806,-1798,-6713,4598,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),-285,-180,-373,-222,-347,--,--, 
 经营活动产生现金流量净额(万元),28843,46520,79916,47243,21443,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),88573,29827,33293,19863,16906,24186,18192, 
 现金的期初余额(万元),29827,33293,19863,16906,24186,18192,26053, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),58746,-3466,13430,2957,-7280,5993,-7860, 

