 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),109732,72151,67331,50036,36400,34374, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),2308,183,0,86,--,--, 
 收到的其他与经营活动有关的现金(万元),1331,1138,2307,3988,471,3331, 
 经营活动现金流入小计(万元),113371,73472,69639,54110,36871,37704, 
 购买商品、接受劳务支付的现金(万元),83204,48205,42964,37712,29794,28193, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),18403,14035,9444,6074,4329,2462, 
 支付的各项税费(万元),3747,3529,3857,3286,1920,1745, 
 支付的其他与经营活动有关的现金(万元),5476,4205,3925,6710,4471,3581, 
 经营活动现金流出小计(万元),110830,69974,60189,53782,40515,35981, 
 经营活动产生的现金流量净额(万元),2542,3498,9450,328,-3644,1724, 
 收回投资所收到的现金(万元),--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),265,3,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),7,123,--,--,2,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,86,--, 
 收到的其他与投资活动有关的现金(万元),26700,3030,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),26972,3156,0,0,87,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),18193,18540,12855,8004,5415,6474, 
 投资所支付的现金(万元),1060,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,103, 
 支付的其他与投资活动有关的现金(万元),25200,12000,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),44453,30540,12855,8004,5415,6577, 
 投资活动产生的现金流量净额(万元),-17481,-27385,-12855,-8004,-5328,-6577, 
 吸收投资收到的现金(万元),2084,29523,4346,7500,--,11030, 
 其中：子公司吸收少数股东投资收到的现金(万元),2084,--,96,--,--,--, 
 取得借款收到的现金(万元),49879,20749,22549,19537,13392,15038, 
