 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),487136,430102,469283,476465,487445,531064,574451,592846,573979,525140,481442,385836, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,66,0,0, 
 收到的其他与经营活动有关的现金(万元),9725,12373,10260,7401,7361,11678,7227,7839,4997,7198,4410,6894, 
 经营活动现金流入小计(万元),496861,442475,479543,483866,494806,542743,581679,600685,578976,532403,485852,392730, 
 购买商品、接受劳务支付的现金(万元),369785,330654,378197,395629,403568,432662,456232,468892,471536,436066,395673,314965, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付给职工以及为职工支付的现金(万元),45334,38487,38707,38891,37668,35138,35588,35542,27933,25914,21472,15981, 
 支付的各项税费(万元),14024,10456,11984,13337,16093,18338,23510,21425,20989,20594,20314,12355, 
 支付的其他与经营活动有关的现金(万元),35653,32175,32081,30937,33387,39398,35544,38028,31613,29653,33731,19711, 
 经营活动现金流出小计(万元),464796,411773,460969,478795,490717,525537,550874,563888,552071,512227,471191,363012, 
