 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),224654,194139,172478,150331,141756,108124, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),20056,15572,11366,14843,11422,9590, 
 收到的其他与经营活动有关的现金(万元),2900,686,801,1341,1030,579, 
 经营活动现金流入小计(万元),247610,210397,184645,166515,154208,118293, 
 购买商品、接受劳务支付的现金(万元),184048,148235,116264,110230,107982,83099, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),37133,25808,21127,16888,15028,11748, 
 支付的各项税费(万元),6516,6971,7095,5928,3389,2111, 
 支付的其他与经营活动有关的现金(万元),18362,16706,15677,10056,12120,9202, 
 经营活动现金流出小计(万元),246060,197720,160163,143102,138519,106160, 
 经营活动产生的现金流量净额(万元),1551,12678,24483,23413,15689,12133, 
 收回投资所收到的现金(万元),36540,3222,3000,--,--,1826, 
 取得投资收益所收到的现金(万元),5772,607,653,2289,1297,1030, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),757,70,27,29,7,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,6,--,--, 
 收到的其他与投资活动有关的现金(万元),3892,13208,401,28235,25428,16612, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),46961,17107,4081,30558,26732,19469, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),18933,22274,2765,4597,2596,2405, 
 投资所支付的现金(万元),19000,109372,3000,1786,721,3892, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),3698,--,--,--,360,--, 
 支付的其他与投资活动有关的现金(万元),6160,100,14359,14353,26729,31908, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),47791,131747,20124,20736,30406,38205, 
 投资活动产生的现金流量净额(万元),-830,-114640,-16043,9822,-3673,-18736, 
 吸收投资收到的现金(万元),424,138175,--,--,98,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),424,--,--,--,98,--, 
 取得借款收到的现金(万元),4000,--,6771,60148,47926,64311, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
