 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),48086,47965,35132,28091,30528,29668,22127,16991,12604,7220, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),54,7,69,76,180,40,81,81,--,11, 
 收到的其他与经营活动有关的现金(万元),6441,6701,20011,11387,8848,5283,2169,2454,315,1384, 
 经营活动现金流入小计(万元),54582,54672,55212,39554,39556,34991,24377,19525,12919,8615, 
 购买商品、接受劳务支付的现金(万元),33094,33088,40011,41214,30495,19381,17608,9443,6732,4926, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),9174,8244,6678,5172,4498,4104,2836,2150,1405,994, 
 支付的各项税费(万元),3056,5784,3292,4946,4701,5993,3017,2040,2061,861, 
 支付的其他与经营活动有关的现金(万元),6526,14775,12253,6328,10259,9115,2821,3450,2080,2124, 
 经营活动现金流出小计(万元),51850,61890,62235,57660,49952,38593,26282,17084,12277,8906, 
 经营活动产生的现金流量净额(万元),2731,-7218,-7023,-18106,-10396,-3602,-1904,2441,642,-291, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,1200, 
 取得投资收益所收到的现金(万元),--,800,--,--,--,--,--,--,--,24, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),7,5,0,--,--,0,4,0,0,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,7835,--,--,--,--,--,150,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),7,8640,0,0,0,0,4,150,0,1224, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),11820,8021,16409,14345,9462,10186,2918,1002,1012,73, 
