 报告日期,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,32984, 
 客户存款和同业存放款项净增加额(万元),64134,59458,44439,--, 
 向中央银行借款净增加额(万元,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--, 
 收到的税费返还(万元),--,29,912,596, 
 收到的其他与经营活动有关的现金(万元),3491,2197,3521,2034, 
 经营活动现金流入小计(万元),67625,61684,48872,35614, 
 购买商品、接受劳务支付的现金(万元),17335,11096,10345,8518, 
 客户贷款及垫款净增加额(万元),--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),24180,17537,14196,10403, 
 支付的各项税费(万元),2629,2792,1564,2573, 
 支付的其他与经营活动有关的现金(万元),10727,13788,11770,7643, 
 经营活动现金流出小计(万元),54871,45212,37875,29137, 
 经营活动产生的现金流量净额(万元),12754,16471,10997,6477, 
 收回投资所收到的现金(万元),--,--,8,--, 
 取得投资收益所收到的现金(万元),--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),17,44,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),259,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--, 
 投资活动现金流入小计(万元),275,44,8,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),9309,14848,5973,5688, 
 投资所支付的现金(万元),--,1440,556,5, 
 质押贷款净增加额(万元),--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,10818, 
 支付的其他与投资活动有关的现金(万元),--,--,0,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--, 
 投资活动现金流出小计(万元),9309,16288,6529,16511, 
 投资活动产生的现金流量净额(万元),-9034,-16245,-6521,-16511, 
 吸收投资收到的现金(万元),--,267,--,12365, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,267,--,125, 
 取得借款收到的现金(万元),3600,--,--,2000, 
 发行债券收到的现金(万元),--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--, 
 筹资活动现金流入小计(万元),3600,267,0,14365, 
 偿还债务支付的现金(万元),--,--,--,2000, 
 分配股利、利润或偿付利息所支付的现金(万元),4680,--,--,52, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),103,106,91,113, 
 筹资活动现金流出小计(万元),4783,106,91,2165, 
 筹资活动产生的现金流量净额(万元),-1183,161,-91,12200, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--, 
 现金及现金等价物净增加额(万元),2538,388,4384,2166, 
 加:期初现金及现金等价物余额(万元),15289,14901,10517,8351, 
 期末现金及现金等价物余额(万元),17827,15289,14901,10517, 
 净利润(万元),9793,8713,3706,--, 
 少数股东损益(万元),--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--, 
 资产减值准备(万元),-6,142,498,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),3513,3347,3300,--, 
 无形资产摊销(万元),39,24,22,--, 
 长期待摊费用摊销(万元),2290,1539,1892,--, 
 待摊费用的减少(万元),--,--,--,--, 
 预提费用的增加(万元),--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),20,47,--,--, 
 固定资产报废损失(万元),--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--, 
 预计负债(万元),--,--,--,--, 
 财务费用(万元),163,--,--,--, 
 投资损失(万元),11,20,0,--, 
 递延所得税资产减少(万元),257,-349,-111,--, 
 递延所得税负债增加(万元),--,--,--,--, 
 存货的减少(万元),-348,-69,-76,--, 
 经营性应收项目的减少(万元),-4426,1147,-1256,--, 
 经营性应付项目的增加(万元),1448,1909,3022,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--, 
 其他(万元),--,--,--,--, 
 经营活动产生现金流量净额(万元),12754,16471,10997,--, 
 债务转为资本(万元),--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--, 
 现金的期末余额(万元),17827,15289,14901,10517, 
 现金的期初余额(万元),15548,14901,10517,8351, 
 现金等价物的期末余额(万元),--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--, 
 现金及现金等价物的净增加额(万元),2279,388,4384,2166, 

