 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),15,0,88,0,29,--,--,--,--,23, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),46,36,9,126,2073,111,118,127,121,69, 
 经营活动现金流入小计(万元),61,36,96,127,2102,111,118,127,121,92, 
 购买商品、接受劳务支付的现金(万元),2000,6,1,0,--,--,--,--,--,21, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),82,91,181,72,69,62,61,77,88,60, 
 支付的各项税费(万元),0,21,--,3,6,6,6,6,4,4, 
 支付的其他与经营活动有关的现金(万元),133,1524,6715,57,107,42,50,45,28,8, 
 经营活动现金流出小计(万元),2215,1642,6897,131,182,110,117,127,120,92, 
 经营活动产生的现金流量净额(万元),-2154,-1607,-6801,-5,1920,1,1,-0,1,-0, 
 收回投资所收到的现金(万元),6600,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),81,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,273,--,0,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),6681,0,273,0,0,0,0,--,--,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),--,1,2,1,3,0,1,--,--,--, 
 投资所支付的现金(万元),3560,3300,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),3560,3301,2,1,3,0,1,--,--,0, 
 投资活动产生的现金流量净额(万元),3121,-3301,271,-1,-3,-0,-1,--,--,0, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,6650,8000,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,6650,8000,0,0,0,0,--,--,0, 
 偿还债务支付的现金(万元),--,--,--,--,1913,--,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),0,0,0,0,1913,0,0,--,--,0, 
 筹资活动产生的现金流量净额(万元),0,6650,8000,0,-1913,0,0,--,--,0, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),968,1742,1470,-5,5,0,0,-0,1,-0, 
 加:期初现金及现金等价物余额(万元),3212,1470,0,6,1,1,0,1,--,33, 
 期末现金及现金等价物余额(万元),4180,3212,1470,0,6,1,1,0,1,33, 
 净利润(万元),-16,53406,-3440,-18938,-1211,-1296,-423,-272,-1374,-1759, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),0,-1,2,1,-0,-43,-916,-1122,-53,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1,2,24,22,22,18,18,18,18,26, 
 无形资产摊销(万元),--,--,--,--,--,4,4,4,4,4, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,0,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,2,--,-0,--,--,--,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,--,--,1062,1110,1254,1254,1281,1308,1667, 
 投资损失(万元),-81,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,--,--,--,--,--,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),-13,--,--,--,--,--,--,--,--,--, 
 经营性应收项目的减少(万元),-1980,29,-19,--,1982,29,34,-2,69,-8, 
 经营性应付项目的增加(万元),-65,-55041,-3370,17848,17,35,31,93,29,45, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,24, 
 经营活动产生现金流量净额(万元),-2154,-1607,-6801,-5,1920,1,1,-0,1,-0, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),4180,3212,1470,0,--,--,--,0,--,33, 
 现金的期初余额(万元),3212,1470,0,6,--,--,--,1,--,33, 
 现金等价物的期末余额(万元),--,--,--,--,6,1,1,--,1,--, 
 现金等价物的期初余额(万元),--,--,--,--,1,1,0,--,--,--, 
 现金及现金等价物的净增加额(万元),968,1742,1470,-5,5,0,0,-0,1,-0, 

