 报告日期,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),483138,491300,344975,251380,262308,218257,211663,184217,158330, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),823,1051,1848,2030,1337,921,1861,1697,1204, 
 收到的其他与经营活动有关的现金(万元),12026,9999,8583,8970,6658,6382,13868,6498,4800, 
 经营活动现金流入小计(万元),495988,502350,355406,262380,270303,225560,227392,192412,164333, 
 购买商品、接受劳务支付的现金(万元),240905,238434,227924,145089,113017,111715,110164,95725,57266, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),33799,27219,26817,25929,21705,17675,18726,15209,11406, 
 支付的各项税费(万元),57560,35925,24699,21550,25047,19436,22913,16835,13653, 
 支付的其他与经营活动有关的现金(万元),15276,13221,7751,11307,9694,5211,15410,9727,24845, 
 经营活动现金流出小计(万元),347541,314798,287191,203875,169463,154038,167213,137496,107170, 
 经营活动产生的现金流量净额(万元),148447,187552,68215,58505,100840,71522,60179,54916,57163, 
 收回投资所收到的现金(万元),33929,18164,22235,1315,4630,21248,4443,14686,27435, 
 取得投资收益所收到的现金(万元),2480,22897,6793,15091,13710,4938,17240,39651,3648, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),21054,9218,773,31,25,22,65,14,1530, 
 处置子公司及其他营业单位收到的现金净额(万元),43062,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),68492,6511,--,1175,324,--,--,--,122, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),169016,56790,29801,17612,18688,26209,21747,54351,32734, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),14834,37359,46908,76062,24757,32724,162478,29992,33117, 
 投资所支付的现金(万元),29923,40720,80508,60535,419,203,41585,4622,12461, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),35000,93200,125,5610,8645,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
