 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),12610,19802,26146,33657,41259,46487,45635,38311, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,19,6,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1397,1071,6040,1789,2193,1389,5548,5531, 
 经营活动现金流入小计(万元),14007,20873,32186,35465,43458,47877,51183,43842, 
 购买商品、接受劳务支付的现金(万元),5697,7022,9854,12143,15176,20446,21486,21590, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5841,7312,8712,9995,11155,10788,8484,6235, 
 支付的各项税费(万元),1073,2310,2378,2310,2991,2338,2957,2488, 
 支付的其他与经营活动有关的现金(万元),2581,2382,3320,5428,5321,7128,3820,3820, 
 经营活动现金流出小计(万元),15191,19026,24264,29876,34644,40700,36747,34134, 
 经营活动产生的现金流量净额(万元),-1184,1847,7921,5589,8814,7176,14436,9708, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,249,1872,58,17,221,107,456, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),106316,95109,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),106317,95358,1872,58,17,221,107,456, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),881,483,191,826,1467,2636,6684,9913, 
 投资所支付的现金(万元),300,--,--,--,1,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),101500,125222,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),102681,125705,191,826,1467,2636,6684,9913, 
 投资活动产生的现金流量净额(万元),3636,-30346,1681,-769,-1451,-2414,-6577,-9457, 
 吸收投资收到的现金(万元),--,9,16070,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,3651,5296, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,948,--,--,--,29,38, 
 筹资活动现金流入小计(万元),0,9,17018,0,0,0,3680,5334, 
 偿还债务支付的现金(万元),--,--,--,--,49,874,8000,3869, 
 分配股利、利润或偿付利息所支付的现金(万元),818,1342,8,2515,4531,774,4040,411, 
 其中：子公司支付给少数股东的股利、利润(万元),5,9,8,15,31,--,-17,--, 
 支付其他与筹资活动有关的现金(万元),--,616,--,--,--,--,--,276, 
 筹资活动现金流出小计(万元),818,1958,8,2515,4580,1648,12040,4556, 
 筹资活动产生的现金流量净额(万元),-818,-1949,17010,-2515,-4580,-1648,-8360,778, 
 汇率变动对现金及现金等价物的影响(万元),0,0,-0,-2,7,-2,-2,-1, 
