 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),118103,119802,107716,81920,79467,75211,67794,68526,44889,35519,36154,37167, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到的税费返还(万元),895,724,504,1221,1480,959,--,--,--,0,5,2, 
 收到的其他与经营活动有关的现金(万元),24645,2045,2054,2086,2743,1187,822,383,388,167,80,66, 
 经营活动现金流入小计(万元),143643,122571,110275,85226,83690,77357,68616,68909,45277,35686,36238,37235, 
 购买商品、接受劳务支付的现金(万元),134748,133639,131190,75992,53651,49965,47935,52579,41157,23210,25125,30858, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付给职工以及为职工支付的现金(万元),16193,15337,14244,14369,12447,11311,9960,8518,5285,3365,3037,2285, 
 支付的各项税费(万元),6523,8235,8254,6046,3574,3257,2884,2756,2560,3289,1812,1731, 
 支付的其他与经营活动有关的现金(万元),24722,17818,8957,17305,4217,4057,3013,3233,2892,1474,1387,1044, 
 经营活动现金流出小计(万元),182187,175028,162646,113713,73890,68590,63792,67086,51894,31338,31362,35918, 
 经营活动产生的现金流量净额(万元),-38543,-52457,-52371,-28487,9799,8767,4825,1823,-6617,4348,4877,1317, 
 收回投资所收到的现金(万元),1450,--,299,2450,--,274,--,--,--,0,0,0, 
 取得投资收益所收到的现金(万元),--,200,27,153,13,18,16,27,14,10,8,8, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),884,160,124,9,28,193,142,1442,5,9,91,217, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,91,408,--,--,--,--,--,0,0,0, 
 收到的其他与投资活动有关的现金(万元),5136,773,--,440,1412,1733,--,--,--,0,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 投资活动现金流入小计(万元),7470,1134,541,3461,1453,2217,159,1469,20,19,99,225, 
