 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),372320,304935,237989,235892,210242,166679,140783, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),13086,8002,7015,6925,4070,6496,11631, 
 经营活动现金流入小计(万元),385407,312937,245004,242817,214312,173175,152414, 
 购买商品、接受劳务支付的现金(万元),271510,194045,142748,194666,173142,117200,116090, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),43278,41517,34316,28439,21799,17430,10931, 
 支付的各项税费(万元),12491,13261,12858,9145,6134,5607,5470, 
 支付的其他与经营活动有关的现金(万元),18149,17795,20251,13629,9699,9827,12618, 
 经营活动现金流出小计(万元),345428,266618,210172,245878,210775,150064,145109, 
 经营活动产生的现金流量净额(万元),39978,46319,34832,-3061,3537,23111,7305, 
 收回投资所收到的现金(万元),--,--,31700,450,26561,--,131, 
 取得投资收益所收到的现金(万元),3897,3014,1134,1435,2209,1182,656, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),152,1,392,4232,150,0,3, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,17, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),4050,3015,33226,6117,28921,1182,806, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),73863,51629,80743,59594,69511,55286,21732, 
 投资所支付的现金(万元),1489,515,600,26050,300,37800,15638, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,14160,849,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,13, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),75352,52144,81343,99804,70660,93086,37383, 
 投资活动产生的现金流量净额(万元),-71302,-49129,-48117,-93687,-41740,-91904,-36577, 
 吸收投资收到的现金(万元),1000,30551,--,71250,5780,--,1480, 
 其中：子公司吸收少数股东投资收到的现金(万元),1000,5900,--,--,--,--,--, 
 取得借款收到的现金(万元),242216,191407,219067,162900,159600,146465,47600, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,1400, 
 筹资活动现金流入小计(万元),243216,221958,219067,234150,165380,146465,50480, 
 偿还债务支付的现金(万元),183173,186481,196072,135957,94396,48652,10643, 
 分配股利、利润或偿付利息所支付的现金(万元),18294,12843,18235,29845,16095,10248,5638, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,1955,--,--,--,--,143, 
 筹资活动现金流出小计(万元),201467,201280,214307,165802,110492,58900,16424, 
 筹资活动产生的现金流量净额(万元),41749,20678,4760,68348,54888,87564,34056, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),10425,17868,-8524,-28400,16685,18771,4784, 
 加:期初现金及现金等价物余额(万元),42383,24515,33039,61439,44753,25982,--, 
 期末现金及现金等价物余额(万元),52808,42383,24515,33039,61439,44753,--, 
 净利润(万元),16876,13785,10270,2402,3292,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
