 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),161205,143648,90518,78077,70169,72677,66130,52667, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,46,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1928,944,835,520,184,165,1221,915, 
 经营活动现金流入小计(万元),163134,144639,91354,78597,70353,72843,67351,53581, 
 购买商品、接受劳务支付的现金(万元),99782,92247,55230,50095,55251,52093,54474,37518, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7196,6695,5306,2654,2695,2380,1796,1563, 
 支付的各项税费(万元),5908,9347,6347,6881,3447,6716,6848,3091, 
 支付的其他与经营活动有关的现金(万元),5237,3624,3218,1742,2830,2498,2231,1492, 
 经营活动现金流出小计(万元),118122,111913,70101,61372,64223,63687,65349,43664, 
 经营活动产生的现金流量净额(万元),45011,32726,21253,17225,6130,9156,2002,9917, 
 收回投资所收到的现金(万元),10000,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2046,2078,2031,1009,205,421,207,49, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,109,--,2280,7560, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),12046,2078,2031,1009,315,421,2487,7608, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),481,36450,5850,15745,21501,26390,11845,4524, 
 投资所支付的现金(万元),10000,--,10286,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,1573,--,--,--,235,5192, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),10481,36450,17709,15745,21501,26390,12080,9716, 
 投资活动产生的现金流量净额(万元),1564,-34372,-15678,-14737,-21186,-25969,-9593,-2107, 
 吸收投资收到的现金(万元),--,--,37948,40698,--,--,--,11722, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),129150,93650,99211,77000,47823,30700,10400,3500, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,475,296,--,--,--,1930,2224, 
 筹资活动现金流入小计(万元),129150,94125,137454,117698,47823,30700,12330,17446, 
 偿还债务支付的现金(万元),96123,92592,88992,48941,28820,15900,2500,1500, 
 分配股利、利润或偿付利息所支付的现金(万元),7133,5835,6000,5034,3315,2136,611,8837, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),182,2497,5034,14668,1318,--,2050,1400, 
 筹资活动现金流出小计(万元),103438,100924,100026,68643,33453,18036,5161,11737, 
 筹资活动产生的现金流量净额(万元),25712,-6799,37429,49055,14370,12664,7169,5710, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),72288,-8445,43004,51543,-687,-4149,-422,13519, 
