 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),2724206,2163792,1637996,1830337,1591230, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),195543,72838,63588,86563,60810, 
 收到的其他与经营活动有关的现金(万元),18472,13353,7851,8717,6442, 
 经营活动现金流入小计(万元),2938221,2249983,1709435,1925617,1658482, 
 购买商品、接受劳务支付的现金(万元),1858259,1682941,1200075,1335358,1098127, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),312601,283343,222405,179029,135808, 
 支付的各项税费(万元),50618,42290,42136,48778,32524, 
 支付的其他与经营活动有关的现金(万元),95772,74113,72839,70043,51086, 
 经营活动现金流出小计(万元),2317250,2082687,1537455,1633209,1317545, 
 经营活动产生的现金流量净额(万元),620971,167296,171980,292409,340937, 
 收回投资所收到的现金(万元),142700,61130,123536,45170,--, 
 取得投资收益所收到的现金(万元),16575,7820,4417,12278,538, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5340,32637,4850,788,1701, 
 处置子公司及其他营业单位收到的现金净额(万元),0,41622,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,11313, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),164615,143208,132802,58236,13551, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),403817,330788,201415,172166,131787, 
 投资所支付的现金(万元),84223,86700,11480,165841,174425, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,196297,3404,--,5730, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),488040,613785,216299,338007,311942, 
 投资活动产生的现金流量净额(万元),-323425,-470577,-83496,-279771,-298391, 
 吸收投资收到的现金(万元),362309,263215,15237,41940,40569, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--, 
 取得借款收到的现金(万元),1245191,1153260,762406,938472,317580, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--, 
 筹资活动现金流入小计(万元),1607500,1416474,777642,980413,358149, 
 偿还债务支付的现金(万元),1385876,1001008,907937,814111,432154, 
 分配股利、利润或偿付利息所支付的现金(万元),103067,145110,49031,24638,13195, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),1283,--,--,--,--, 
 筹资活动现金流出小计(万元),1490226,1146117,956968,838750,445350, 
 筹资活动产生的现金流量净额(万元),117274,270357,-179326,141663,-87201, 
 汇率变动对现金及现金等价物的影响(万元),9889,-11545,19137,13234,421, 
 现金及现金等价物净增加额(万元),424708,-44468,-71705,167535,-44233, 
 加:期初现金及现金等价物余额(万元),197240,241708,313413,145878,190111, 
 期末现金及现金等价物余额(万元),621948,197240,241708,313413,145878, 
 净利润(万元),277122,182732,100398,152602,141413, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),12953,5268,6971,6288,3252, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),151053,125837,111648,99831,89129, 
 无形资产摊销(万元),4306,1351,1627,1604,1250, 
 长期待摊费用摊销(万元),624,563,751,1496,1320, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),3373,304,-22,2638,388, 
 固定资产报废损失(万元),--,--,--,--,--, 
 公允价值变动损失(万元),98,-176,--,-761,865, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),-2712,18400,-15951,-9152,5595, 
 投资损失(万元),-10097,-11394,-7968,-11821,-617, 
 递延所得税资产减少(万元),-3885,-2476,-4142,-2289,-4197, 
 递延所得税负债增加(万元),4338,-4,-4,-4,-3, 
 存货的减少(万元),13214,-91753,-40445,-1802,-21472, 
 经营性应收项目的减少(万元),153169,-292323,-104293,87033,70042, 
 经营性应付项目的增加(万元),2587,220875,123411,-33254,53971, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),14828,--,--,--,--, 
 经营活动产生现金流量净额(万元),620971,167296,171980,292409,340937, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),621948,197240,241708,313413,145878, 
 现金的期初余额(万元),197240,241708,313413,145878,190111, 
 现金等价物的期末余额(万元),--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),424708,-44468,-71705,167535,-44233, 

