 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),216795,348652,200546,113554,96850,30950,27985,32606,18942,14575, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),17149,14644,4238,7118,7050,875,2139,1553,2040,1584, 
 经营活动现金流入小计(万元),233944,363295,204784,120672,103900,31825,30125,34159,20982,16159, 
 购买商品、接受劳务支付的现金(万元),358452,251454,158117,84060,85866,41100,31666,24367,18833,16151, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),20465,18477,13658,10078,8468,4121,2299,1894,1434,752, 
 支付的各项税费(万元),23063,25865,15424,10176,8302,1604,4712,3658,2798,1831, 
 支付的其他与经营活动有关的现金(万元),19147,25467,7018,7905,7665,4302,1722,1927,1102,599, 
 经营活动现金流出小计(万元),421127,321263,194217,112218,110302,51127,40399,31846,24166,19333, 
 经营活动产生的现金流量净额(万元),-187184,42032,10568,8454,-6402,-19303,-10274,2313,-3185,-3174, 
 收回投资所收到的现金(万元),1988,8944,200,150,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),348,582,91,0,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1411,2017,37,150,51,--,361,2,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),226,-335,-207,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,48,--,--,--,--,6,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),3973,11209,121,348,51,0,361,2,6,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),6529,9414,11394,22569,16943,8662,4230,1615,1747,712, 
 投资所支付的现金(万元),23426,102195,20871,6100,5560,--,--,--,--,264, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),48783,80,6063,--,12777,141,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,567,--,24,167,--,--,49,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),78738,111689,38894,28669,35304,8969,4230,1615,1796,976, 
 投资活动产生的现金流量净额(万元),-74765,-100480,-38774,-28321,-35253,-8969,-3869,-1613,-1790,-976, 
 吸收投资收到的现金(万元),9645,9548,27455,49089,13150,3430,37361,98,5172,5953, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,98,172,--, 
 取得借款收到的现金(万元),531523,432223,214830,112200,86530,32600,14500,12000,4000,500, 
 发行债券收到的现金(万元),--,--,--,--,9960,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),84261,--,--,--,--,--,--,--,490,1150, 
 筹资活动现金流入小计(万元),625429,441772,242285,161289,109640,36030,51861,12098,9662,7603, 
 偿还债务支付的现金(万元),422719,226288,122955,107330,50230,14300,12000,4000,550,--, 
 分配股利、利润或偿付利息所支付的现金(万元),45516,15306,10674,7343,5102,3454,1078,546,481,723, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,1,--, 
 支付其他与筹资活动有关的现金(万元),6633,60577,31924,13715,2755,470,176,54,2051,1150, 
 筹资活动现金流出小计(万元),474868,302170,165552,128388,58087,18224,13254,4600,3082,1873, 
 筹资活动产生的现金流量净额(万元),150561,139601,76733,32901,51553,17806,38608,7498,6580,5730, 
 汇率变动对现金及现金等价物的影响(万元),-12,-57,-3,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-111400,81095,48524,13034,9899,-10466,24465,8198,1605,1580, 
 加:期初现金及现金等价物余额(万元),179509,98414,49890,36856,26957,37423,12958,4760,3155,1575, 
 期末现金及现金等价物余额(万元),68109,179509,98414,49890,36856,26957,37423,12958,4760,3155, 
 净利润(万元),23988,88023,36982,17358,18105,10391,12677,8144,6526,3288, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--, 
