 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),122781,72719,62752,51240,28677,158,476,209,118,327,687,425,3235, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),4337,3977,4808,2791,2341,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),6601,3428,1504,3686,987,519,825,13,2,15,2,273,3392, 
 经营活动现金流入小计(万元),133719,80124,69063,57717,32005,678,1301,223,120,342,689,698,6626, 
 购买商品、接受劳务支付的现金(万元),36561,23420,16473,14862,13456,--,--,--,--,3,269,49,5654, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),35547,18158,11002,8044,4438,203,893,38,4,31,57,17,30, 
 支付的各项税费(万元),25336,24706,12989,15172,3579,111,130,41,30,50,69,82,90, 
 支付的其他与经营活动有关的现金(万元),15296,10325,6052,3874,3187,11032,39781,172,88,263,368,591,864, 
 经营活动现金流出小计(万元),112741,76609,46516,41953,24660,11345,40804,252,122,347,762,739,6637, 
 经营活动产生的现金流量净额(万元),20979,3515,22548,15765,7345,-10668,-39503,-29,-2,-5,-74,-40,-11, 
 收回投资所收到的现金(万元),9000,87800,--,16000,--,9320,3,--,--,--,--,122,--, 
 取得投资收益所收到的现金(万元),278,272,279,--,--,--,39555,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),63,67,1,33,0,1294,--,--,--,0,72,--,6, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),266,1255,4472,9300,3229,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),9607,89395,4751,25333,3229,10614,39558,0,0,0,72,122,6, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),60390,83752,62012,35602,63664,1,--,--,--,--,0,79,5, 
 投资所支付的现金(万元),9014,2800,85000,510,16000,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,1645,--,64387,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),2143,900,588,2420,--,--,--,--,--,--,--,4,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),71547,89097,147600,102918,79664,1,0,0,0,--,0,83,5, 
 投资活动产生的现金流量净额(万元),-61940,298,-142849,-77585,-76435,10613,39558,0,0,0,72,39,0, 
 吸收投资收到的现金(万元),2222,73944,--,--,56100,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),2222,588,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),76000,151700,165300,112900,66325,--,--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),15695,30000,29880,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),52673,82177,83688,11200,1067,1000,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),146589,337821,278868,124100,123492,1000,0,0,0,--,--,--,--, 
 偿还债务支付的现金(万元),115529,180382,139200,59435,36750,--,--,0,--,0,--,21,--, 
 分配股利、利润或偿付利息所支付的现金(万元),18788,19773,10129,12504,6076,--,--,--,--,--,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),98,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),59755,41755,9826,--,6898,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),194072,241910,159155,71938,49724,0,0,0,0,0,--,21,--, 
 筹资活动产生的现金流量净额(万元),-47483,95910,119713,52162,73768,1000,0,-0,0,-0,--,-21,--, 
 汇率变动对现金及现金等价物的影响(万元),16,16,-4,0,--,-0,0,-0,-0,-0,-0,-0,-0, 
 现金及现金等价物净增加额(万元),-88428,99739,-592,-9659,4678,946,55,-29,-2,-5,-2,-22,-11, 
 加:期初现金及现金等价物余额(万元),119158,19419,20011,29670,24992,82,27,57,59,64,66,89,99, 
 期末现金及现金等价物余额(万元),30730,119158,19419,20011,29670,1028,82,27,57,59,64,66,89, 
 净利润(万元),22230,22489,21172,22820,17502,113155,-63605,-2182,4678,-1796,-996,11798,3012, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),252,1388,359,126,425,-0,2323,93,-227,100,30,-90634,736, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),7729,5182,4213,3115,2834,0,189,285,308,308,467,746,850, 
 无形资产摊销(万元),13245,9284,8365,7380,2564,--,12,16,19,19,19,42,27, 
 长期待摊费用摊销(万元),1344,933,453,157,18,--,--,--,--,--,0,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-23,-6,--,45,--,-779,-6813,-262,--,-912,153,--,-19, 
 固定资产报废损失(万元),--,--,--,--,--,0,--,--,--,--,0,--,--, 
 公允价值变动损失(万元),-91,-265,-371,-1186,--,--,--,--,--,--,0,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),14250,16626,12381,9049,4488,277,116,5067,7494,7894,5558,4771,-850, 
 投资损失(万元),74,-9,-0,-0,--,-0,-2444,-4645,-5161,-5688,-7088,-13169,-5682, 
 递延所得税资产减少(万元),-96,-463,-3,-95,-707,--,--,--,--,--,0,--,--, 
 递延所得税负债增加(万元),23,66,93,296,--,--,--,--,--,--,0,--,--, 
 存货的减少(万元),1384,-1691,-3437,-2162,1369,--,--,--,--,--,97,21963,341, 
 经营性应收项目的减少(万元),-68870,-55400,-54040,22077,-30611,-10049,-11455,-131,99,809,9,83548,2854, 
 经营性应付项目的增加(万元),29861,5647,33845,-45697,9544,-127,42173,1730,1103,-739,1677,-19105,-1280, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),-331,-268,-484,-159,-80,-113144,--,--,-8314,--,0,--,--, 
 经营活动产生现金流量净额(万元),20979,3515,22548,15765,7345,-10668,-39503,-29,-2,-5,-74,-40,-11, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),30730,119158,19419,20011,29670,1028,82,27,57,59,64,66,89, 
 现金的期初余额(万元),119158,19419,20011,29670,24992,82,27,57,59,64,66,89,99, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-88428,99739,-592,-9659,4678,946,55,-29,-2,-5,-2,-22,-11, 

