 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31, 
 销售商品、提供劳务收到的现金(万元),633100,419011,251813,219270,314681,425372,248595,162168,157302, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),47760,43497,19512,17870,4526,24375,10312,491,11278, 
 经营活动现金流入小计(万元),680860,462508,271326,237140,319206,449747,258907,162659,168579, 
 购买商品、接受劳务支付的现金(万元),627307,480283,193092,177719,300765,373757,219979,150175,130440, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),31467,27786,18379,16219,20543,22577,12409,11095,8489, 
 支付的各项税费(万元),19014,21092,13704,10430,13064,19061,10101,6107,5255, 
 支付的其他与经营活动有关的现金(万元),36750,60692,15831,19619,9538,55033,4116,34923,7527, 
 经营活动现金流出小计(万元),714538,589852,241006,223988,343910,470429,246604,202299,151711, 
 经营活动产生的现金流量净额(万元),-33678,-127344,30320,13152,-24704,-20682,12303,-39640,16869, 
 收回投资所收到的现金(万元),--,--,--,--,180,7,3,--,--, 
 取得投资收益所收到的现金(万元),80,32,32,40,104,--,9,--,22, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),143,146,43,734,614,669,70,191,1, 
 处置子公司及其他营业单位收到的现金净额(万元),13835,2784,--,--,77,--,--,--,20, 
 收到的其他与投资活动有关的现金(万元),--,--,21181,11138,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),14058,2963,21256,11912,974,676,82,191,43, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),15545,3835,12564,6874,2718,4077,1595,4670,2085, 
 投资所支付的现金(万元),--,2573,100,--,--,822,217,--,3, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,2505,--,--,694,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,1374,9518,16117,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),15545,10287,22182,22991,3411,4898,1812,4670,2088, 
 投资活动产生的现金流量净额(万元),-1487,-7324,-926,-11079,-2437,-4223,-1731,-4479,-2045, 
 吸收投资收到的现金(万元),57367,850,848,38377,22411,9605,427,2599,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),15450,850,848,677,925,150,427,2599,--, 
 取得借款收到的现金(万元),251100,265800,57500,41500,99000,77939,48950,49843,900, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,17135,--,--,--,--,342,--,--, 
 筹资活动现金流入小计(万元),308467,283785,58348,79877,121411,87544,49719,52442,900, 
 偿还债务支付的现金(万元),225485,77900,67640,62740,82670,56750,33241,109,900, 
 分配股利、利润或偿付利息所支付的现金(万元),14649,15192,11810,5304,10743,8894,3289,1722,75, 
 其中：子公司支付给少数股东的股利、利润(万元),245,730,427,126,904,--,15,--,--, 
 支付其他与筹资活动有关的现金(万元),3534,258,9542,--,--,--,124,--,--, 
 筹资活动现金流出小计(万元),243669,93350,88993,68044,93413,65644,36653,1831,975, 
 筹资活动产生的现金流量净额(万元),64799,190435,-30645,11833,27998,21900,13066,50611,-75, 
