 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31, 
 销售商品、提供劳务收到的现金(万元),6941221,6322761,4557263,4640538,5035783,6359681,5491702,4958973,4260283, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1871,807,1239,1300,759,1373,497,296,--, 
 收到的其他与经营活动有关的现金(万元),65840,47058,51564,71486,43145,42789,58226,29291,42978, 
 经营活动现金流入小计(万元),7008931,6370626,4610066,4713324,5079687,6403843,5550425,4988560,4303261, 
 购买商品、接受劳务支付的现金(万元),5620240,4570223,2450283,2585050,3263406,4274028,4025529,3908041,3006290, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),301706,305122,295622,281414,248155,236470,208859,176828,160444, 
 支付的各项税费(万元),308847,325247,448650,523498,479723,521177,339006,300507,307456, 
 支付的其他与经营活动有关的现金(万元),100717,171394,80435,57784,46066,45952,70234,65809,52882, 
 经营活动现金流出小计(万元),6331510,5371987,3274991,3447746,4037350,5077626,4643628,4451184,3527071, 
 经营活动产生的现金流量净额(万元),677421,998640,1335075,1265578,1042337,1326217,906798,537375,776190, 
 收回投资所收到的现金(万元),56084,23362,--,--,4335,2198,10811,30258,10621, 
 取得投资收益所收到的现金(万元),264656,207870,311143,254251,255496,190190,127161,138690,93254, 
