 报告日期,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),1394002,1239870,1026729, 
 客户存款和同业存放款项净增加额(万元),--,0,--, 
 向中央银行借款净增加额(万元,--,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,0,--, 
 收到原保险合同保费取得的现金(万元),--,0,--, 
 收到再保险业务现金净额(万元),--,0,--, 
 保户储金及投资款净增加额(万元),--,0,--, 
 处置交易性金融资产净增加额(万元),--,0,--, 
 收取利息、手续费及佣金的现金(万元),--,0,--, 
 拆入资金净增加额(万元),--,0,--, 
 回购业务资金净增加额(万元),--,0,--, 
 收到的税费返还(万元),6370,10138,10428, 
 收到的其他与经营活动有关的现金(万元),15268,4826,4829, 
 经营活动现金流入小计(万元),1415640,1254835,1041986, 
 购买商品、接受劳务支付的现金(万元),1062823,941034,758238, 
 客户贷款及垫款净增加额(万元),--,0,--, 
 存放中央银行和同业款项净增加额(万元),--,0,--, 
 支付原保险合同赔付款项的现金(万元),--,0,--, 
 支付利息、手续费及佣金的现金(万元),--,0,--, 
 支付保单红利的现金(万元),--,0,--, 
 支付给职工以及为职工支付的现金(万元),144021,104675,81156, 
 支付的各项税费(万元),83958,61108,48029, 
 支付的其他与经营活动有关的现金(万元),96653,84934,52696, 
 经营活动现金流出小计(万元),1387455,1191752,940118, 
 经营活动产生的现金流量净额(万元),28185,63082,101868, 
 收回投资所收到的现金(万元),621,36,48, 
 取得投资收益所收到的现金(万元),1693,990,1339, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),36,45087,4751, 
 处置子公司及其他营业单位收到的现金净额(万元),--,0,--, 
 收到的其他与投资活动有关的现金(万元),--,0,--, 
 减少质押和定期存款所收到的现金(万元),--,0,--, 
 投资活动现金流入小计(万元),2350,46113,6138, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),81448,135633,186452, 
 投资所支付的现金(万元),966,6136,3164, 
 质押贷款净增加额(万元),--,0,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,0,--, 
 支付的其他与投资活动有关的现金(万元),--,0,--, 
 增加质押和定期存款所支付的现金(万元),--,0,--, 
 投资活动现金流出小计(万元),82414,141769,189616, 
 投资活动产生的现金流量净额(万元),-80064,-95656,-183479, 
 吸收投资收到的现金(万元),11940,3872,5799, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,3872,--, 
 取得借款收到的现金(万元),680155,617264,580344, 
 发行债券收到的现金(万元),--,0,--, 
 收到其他与筹资活动有关的现金(万元),--,0,--, 
 筹资活动现金流入小计(万元),692095,621136,586143, 
 偿还债务支付的现金(万元),567805,517704,466594, 
 分配股利、利润或偿付利息所支付的现金(万元),55916,38162,30236, 
 其中：子公司支付给少数股东的股利、利润(万元),--,582,523, 
 支付其他与筹资活动有关的现金(万元),4692,0,--, 
 筹资活动现金流出小计(万元),628413,555867,496830, 
 筹资活动产生的现金流量净额(万元),63682,65269,89313, 
 汇率变动对现金及现金等价物的影响(万元),-1276,-208,-135, 
 现金及现金等价物净增加额(万元),10528,32488,7567, 
 加:期初现金及现金等价物余额(万元),95144,62656,55089, 
 期末现金及现金等价物余额(万元),105672,95144,62656, 
 净利润(万元),-136233,-49757,--, 
 少数股东损益(万元),--,0,--, 
 未确认的投资损失(万元),--,0,--, 
 资产减值准备(万元),683,1567,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),55656,56101,--, 
 无形资产摊销(万元),387,407,--, 
 长期待摊费用摊销(万元),7737,7800,--, 
 待摊费用的减少(万元),--,0,--, 
 预提费用的增加(万元),--,0,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-1462,260,--, 
 固定资产报废损失(万元),108,495,--, 
 公允价值变动损失(万元),17246,0,--, 
 递延收益增加(减：减少)(万元),--,0,--, 
 预计负债(万元),--,0,--, 
 财务费用(万元),14673,8479,--, 
 投资损失(万元),-370,-1075,--, 
 递延所得税资产减少(万元),-58,-222,--, 
 递延所得税负债增加(万元),-95,0,--, 
 存货的减少(万元),-7640,-2245,--, 
 经营性应收项目的减少(万元),86431,-44351,--, 
 经营性应付项目的增加(万元),-8877,85623,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,0,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,0,--, 
 其他(万元),--,0,--, 
 经营活动产生现金流量净额(万元),28185,63082,--, 
 债务转为资本(万元),--,0,--, 
 一年内到期的可转换公司债券(万元),--,0,--, 
 融资租入固定资产(万元),--,0,--, 
 现金的期末余额(万元),105672,95144,62656, 
 现金的期初余额(万元),95144,62656,55089, 
 现金等价物的期末余额(万元),--,0,--, 
 现金等价物的期初余额(万元),--,0,--, 
 现金及现金等价物的净增加额(万元),10528,32488,7567, 

