 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31, 
 销售商品、提供劳务收到的现金(万元),267369,216375,138221,139962,182241,210432,211581,213486,172482,103451,85205,86261,57224,47301, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到的税费返还(万元),4507,5676,4484,4995,7866,7485,6037,6163,6688,3754,5559,5407,4858,3288, 
 收到的其他与经营活动有关的现金(万元),5721,4194,419,327,803,1496,2712,882,3024,20747,12081,4240,1372,246, 
 经营活动现金流入小计(万元),277596,226245,143123,145284,190910,219414,220329,220531,182194,127951,102845,95909,63455,50835, 
 购买商品、接受劳务支付的现金(万元),234982,183579,107260,103474,131377,167975,148013,153283,155176,93061,68000,61700,34109,32393, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),15536,11327,10314,10706,11697,11458,11725,11271,9328,6983,7313,5671,3524,3045, 
 支付的各项税费(万元),17131,15363,8704,9240,11728,11463,13643,10730,9145,6031,7738,6423,5442,3439, 
 支付的其他与经营活动有关的现金(万元),10090,10425,11839,11868,11857,10967,10356,12450,8887,7791,13762,6319,4011,5181, 
 经营活动现金流出小计(万元),277739,220695,138117,135288,166660,201863,183736,187734,182536,113864,96812,80113,47086,44057, 
 经营活动产生的现金流量净额(万元),-142,5551,5007,9996,24250,17550,36593,32797,-342,14087,6033,15795,16369,6778, 
 收回投资所收到的现金(万元),40,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 取得投资收益所收到的现金(万元),133,116,8,--,--,--,--,--,--,--,0,0,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,352,2358,1673,--,--,247,0,0,--,195,0,0,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,6564,8201,--,--,7147,--,--,--,--,0,0,0,0, 
 收到的其他与投资活动有关的现金(万元),9911,1223,--,--,--,--,--,--,--,--,0,0,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 投资活动现金流入小计(万元),10084,8255,10567,1673,0,7147,247,0,0,--,195,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),32554,21388,6372,1198,1225,3142,4826,4408,18528,44235,80347,36738,17171,21332, 
 投资所支付的现金(万元),40,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
