 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),109925,108674,112713,102359,87255,70677,63451, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),3655,1311,2107,963,1192,1790,--, 
 收到的其他与经营活动有关的现金(万元),1101,671,674,164,164,86,643, 
 经营活动现金流入小计(万元),114682,110656,115494,103487,88611,72553,64094, 
 购买商品、接受劳务支付的现金(万元),81930,69483,71947,67890,63169,50053,42425, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),26400,25176,22928,19765,14989,13737,13135, 
 支付的各项税费(万元),3358,6298,4701,4407,3628,2673,2358, 
 支付的其他与经营活动有关的现金(万元),6971,7426,6586,5596,4094,3576,3425, 
 经营活动现金流出小计(万元),118660,108383,106162,97659,85881,70040,61343, 
 经营活动产生的现金流量净额(万元),-3978,2273,9332,5827,2730,2512,2751, 
 收回投资所收到的现金(万元),66700,--,30,--,6000,582,--, 
 取得投资收益所收到的现金(万元),753,--,19,--,11,1,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),3,4,26,4,--,1,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),67456,4,75,4,6011,584,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),11313,8813,6505,5220,4880,5532,2017, 
 投资所支付的现金(万元),53200,26500,--,--,6000,562,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),692,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),65205,35313,6505,5220,10880,6094,2017, 
 投资活动产生的现金流量净额(万元),2251,-35310,-6431,-5216,-4869,-5510,-2017, 
 吸收投资收到的现金(万元),--,43523,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),19297,23607,13370,6495,20936,11085,8295, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),5126,7497,4849,5113,2803,2466,--, 
 筹资活动现金流入小计(万元),24423,74627,18219,11608,23740,13551,8295, 
 偿还债务支付的现金(万元),14689,23458,12717,8133,16047,9981,3727, 
 分配股利、利润或偿付利息所支付的现金(万元),2711,1698,418,2399,426,282,365, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),2811,8173,5115,4018,4334,3330,1475, 
 筹资活动现金流出小计(万元),20210,33329,18249,14550,20807,13593,5567, 
 筹资活动产生的现金流量净额(万元),4213,41298,-30,-2943,2932,-42,2728, 
 汇率变动对现金及现金等价物的影响(万元),84,-273,56,-104,-0,57,24, 
 现金及现金等价物净增加额(万元),2569,7989,2927,-2435,793,-2983,3486, 
 加:期初现金及现金等价物余额(万元),13009,5021,2093,4528,3735,6719,3232, 
 期末现金及现金等价物余额(万元),15578,13009,5021,2093,4528,3735,6719, 
 净利润(万元),2540,8036,9065,8093,6827,5125,6044, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),1182,901,595,368,557,389,253, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),3992,2726,2111,1300,839,635,507, 
 无形资产摊销(万元),167,152,98,82,92,76,28, 
 长期待摊费用摊销(万元),370,284,196,140,80,41,30, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-23,53,142,-3,--,3,165, 
 固定资产报废损失(万元),95,--,--,46,102,22,76, 
 公允价值变动损失(万元),-9,-19,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),354,996,522,883,499,521,390, 
 投资损失(万元),-605,-133,-19,--,-11,-1,0, 
 递延所得税资产减少(万元),-465,14,-173,-98,-54,-30,-41, 
 递延所得税负债增加(万元),120,30,--,--,--,--,--, 
 存货的减少(万元),-2996,5957,-6272,-6427,-1025,-1343,-7939, 
 经营性应收项目的减少(万元),-18631,-20076,5627,-13271,-7733,-5795,-8847, 
 经营性应付项目的增加(万元),9199,3352,-2560,14715,2557,2869,12086, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),732,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),-3978,2273,9332,5827,2730,2512,2751, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),15578,13009,5021,2093,4528,3735,6719, 
 现金的期初余额(万元),13009,5021,2093,4528,3735,6719,3232, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),2569,7989,2927,-2435,793,-2983,3486, 

