 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31, 
 销售商品、提供劳务收到的现金(万元),878589,851565,823473,654890,603443,501942,--,483249,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),38,25,1637,1081,1152,966,--,177,--, 
 收到的其他与经营活动有关的现金(万元),278050,68358,50472,87594,38227,37498,--,84502,--, 
 经营活动现金流入小计(万元),1156677,919948,875582,743565,642822,540406,--,567928,--, 
 购买商品、接受劳务支付的现金(万元),449903,439947,467954,249324,160592,121526,--,160713,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),216397,188752,174256,185602,192112,180833,--,110360,--, 
 支付的各项税费(万元),46214,47254,40713,48757,54166,52047,--,43540,--, 
 支付的其他与经营活动有关的现金(万元),102291,95891,82677,191457,105020,78250,--,140263,--, 
 经营活动现金流出小计(万元),814805,771845,765600,675141,511891,432656,--,454876,--, 
 经营活动产生的现金流量净额(万元),341872,148103,109982,68424,130931,107750,130700,113052,112400, 
