报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),17930,17816,32282,51801,50320,35613,40527,52392,59743,66011,5312,7410,8035,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),104,275,83,75,224,675,1058,1296,789,1458,605,315,286,
应收账款(万元),5658,4696,4722,2672,2157,4136,3567,4752,4468,6421,4957,5641,1776,
预付款项(万元),72,89,92,162,464,151,393,2149,91,3141,722,112,34,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应收利息(万元),18,26,1591,2021,868,1146,608,837,825,0,0,0,0,
应收股利(万元),--,--,--,0,--,--,--,--,--,0,0,0,0,
其他应收款(万元),205,1139,1073,1160,1216,147,180,220,470,378,436,214,836,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
存货(万元),3591,3603,2542,2149,3522,2271,3344,3140,3145,3859,3339,3194,5576,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,17,11,0,0,0,0,
其他流动资产(万元),48395,42725,24787,2081,412,1110,863,--,--,0,0,0,130,
流动资产合计(万元),75974,70368,67170,62122,59182,45249,50539,64805,69541,81267,15370,16888,16674,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
可供出售金融资产(万元),--,--,--,0,--,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,--,0,--,--,--,--,--,0,0,0,0,
长期应收款(万元),--,--,--,0,--,--,--,--,--,0,0,0,0,
长期股权投资(万元),--,--,--,0,--,--,--,--,--,0,127,177,236,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
投资性房地产(万元),17707,18242,18777,19312,19847,20381,19651,10530,--,0,0,0,0,
固定资产原值(万元),6745,6579,6319,6173,6139,13778,7898,756,723,789,869,0,0,
累计折旧(万元),2228,1884,1710,1388,1083,1452,771,483,546,578,598,0,0,
固定资产净值(万元),4518,4695,4610,4785,5056,12326,7128,273,177,211,271,0,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,42,47,55,0,0,
固定资产(万元),4518,4695,4610,4785,5056,12326,7128,273,135,165,216,255,266,
在建工程(万元),--,--,--,0,--,430,1002,13902,17981,7394,3102,81,17,
工程物资(万元),--,--,--,0,--,--,--,--,--,0,0,0,0,
固定资产清理(万元),--,--,--,0,--,--,--,--,--,0,0,0,0,
生产性生物资产(万元),--,--,--,0,--,--,--,--,--,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
油气资产(万元),--,--,--,0,--,--,--,--,--,0,0,0,0,
无形资产(万元),1016,1128,1223,1319,1421,5445,5685,1772,1745,1769,1546,1249,602,
开发支出(万元),--,--,--,0,--,--,--,--,--,0,0,0,0,
商誉(万元),--,--,--,0,--,--,--,--,--,0,0,0,0,
长期待摊费用(万元),260,283,109,123,125,1306,2,5,6,0,0,8,43,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
递延所得税资产(万元),402,454,564,594,490,875,1049,191,266,131,114,70,88,
其他非流动资产(万元),--,--,--,0,--,1293,3552,--,--,0,0,0,0,
非流动资产合计(万元),23902,24802,25283,26133,26938,42057,38069,26673,20134,9459,5105,1839,1254,
资产总计(万元),99876,95170,92453,88255,86120,87306,88608,91478,89675,90726,20475,18727,17927,
短期借款(万元),--,--,--,0,--,--,--,4068,--,0,605,0,0,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应付票据(万元),--,--,--,0,--,--,--,--,--,626,634,560,480,
应付账款(万元),866,808,1597,1036,720,839,527,662,802,3392,1679,2762,2999,
预收账款(万元),342,428,267,276,228,172,735,440,211,372,712,971,276,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应付职工薪酬(万元),1680,1514,1252,774,638,564,296,285,245,217,216,229,245,
应交税费(万元),218,289,518,784,360,502,247,876,80,-289,-298,92,277,
