报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),15353,13335,12658,7326,3715,2006,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),1405,17,336,292,602,454,
应收账款(万元),11996,13046,9963,4542,6176,2632,
预付款项(万元),1174,175,428,338,150,264,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),20,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),812,552,354,333,199,386,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),--,--,--,--,--,--,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),121,140,4,0,0,1,
流动资产合计(万元),30881,27264,23743,12832,10842,5743,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),55,45,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),218,80,56,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),1300,1142,1046,--,--,--,
累计折旧(万元),235,160,98,--,--,--,
固定资产净值(万元),1065,982,949,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),1065,982,949,1080,1038,88,
在建工程(万元),8727,7394,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),20,16,13,23,20,26,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,
长期待摊费用(万元),8,16,24,43,43,10,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),62,54,42,9,34,45,
其他非流动资产(万元),92,6,4507,--,4,25,
非流动资产合计(万元),10247,8594,5590,1156,1139,195,
资产总计(万元),41129,35858,29333,13987,11981,5938,
短期借款(万元),--,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,
应付账款(万元),5859,8901,6228,1853,3240,1568,
预收账款(万元),2463,638,435,68,--,0,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),507,488,511,470,96,71,
应交税费(万元),1084,1327,1152,909,1257,520,
应付利息(万元),--,--,--,--,--,--,
应付股利(万元),--,--,--,--,3,3,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),463,312,164,105,74,111,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),10375,11665,8490,3404,4669,2273,
长期借款(万元),--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),0,0,0,0,0,0,
负债合计(万元),10375,11665,8490,3404,4669,2273,
实收资本(或股本)(万元),6341,6341,6341,3424,1834,972,
资本公积(万元),9275,9275,9275,1208,--,--,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),1010,760,454,649,363,142,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),14104,7791,4731,4314,4154,1857,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),30729,24166,20801,9595,6351,2971,
少数股东权益(万元),25,27,43,989,962,693,
所有者权益(或股东权益)合计(万元),30754,24193,20843,10584,7313,3665,
负债和所有者权益(或股东权益)总计(万元),41129,35858,29333,13987,11981,5938,		
  
