报告日期,2007-12-31,2006-12-31,
货币资金(万元),47105,36424,
结算备付金(万元),--,0,
拆出资金(万元),--,0,
交易性金融资产(万元),--,0,
衍生金融资产(万元),--,0,
应收票据(万元),4370,4218,
应收账款(万元),30770,25427,
预付款项(万元),26183,25752,
应收保费(万元),--,0,
应收分保账款(万元),--,0,
应收分保合同准备金(万元),--,0,
应收利息(万元),--,0,
应收股利(万元),18132,4575,
其他应收款(万元),2071,1944,
应收出口退税(万元), --,0,
应收补贴款(万元),--,0,
应收保证金(万元),--,0,
内部应收款(万元),--,0,
买入返售金融资产(万元),--,0,
存货(万元),17201,15108,
待摊费用(万元),--,0,
待处理流动资产损益(万元),--,0,
一年内到期的非流动资产(万元),--,0,
其他流动资产(万元),--,0,
流动资产合计(万元),145833,113448,
发放贷款及垫款(万元),--,0,
可供出售金融资产(万元),2418,1522,
持有至到期投资(万元),--,0,
长期应收款(万元),--,0,
长期股权投资(万元),169866,166010,
其他长期投资(万元),--,0,
投资性房地产(万元),6889,0,
固定资产原值(万元),30444,37675,
累计折旧(万元),16398,16508,
固定资产净值(万元),14045,21167,
固定资产减值准备(万元),2124,2151,
固定资产(万元),11921,19016,
在建工程(万元),8154,7406,
工程物资(万元),--,0,
固定资产清理(万元),--,0,
生产性生物资产(万元),--,0,
公益性生物资产(万元),--,0,
油气资产(万元),--,0,
无形资产(万元),12879,14697,
开发支出(万元),1237,0,
商誉(万元),--,0,
长期待摊费用(万元),47,119,
股权分置流通权(万元),--,0,
递延所得税资产(万元),600,675,
其他非流动资产(万元),--,0,
非流动资产合计(万元),214011,209447,
资产总计(万元),359844,322895,
短期借款(万元),47000,0,
向中央银行借款(万元),--,0,
吸收存款及同业存放(万元),--,0,
拆入资金(万元),--,0,
交易性金融负债(万元),--,0,
衍生金融负债(万元),--,0,
应付票据(万元),--,0,
应付账款(万元),54197,38012,
预收账款(万元),9365,22260,
卖出回购金融资产款(万元),--,0,
应付手续费及佣金(万元),--,0,
应付职工薪酬(万元),3042,2629,
应交税费(万元),-665,-2,
应付利息(万元),--,0,
应付股利(万元),742,503,
其他应交款(万元),--,0,
应付保证金(万元),--,0,
内部应付款(万元),--,0,
其他应付款(万元),11769,11701,
预提费用(万元),--,0,
预计流动负债(万元),--,0,
应付分保账款(万元),--,0,
保险合同准备金(万元),--,0,
代理买卖证券款(万元),--,0,
代理承销证券款(万元),--,0,
国际票证结算(万元),--,0,
国内票证结算(万元),--,0,
递延收益(万元),--,0,
应付短期债券(万元),--,0,
一年内到期的非流动负债(万元),--,48927,
其他流动负债(万元),--,0,
流动负债合计(万元),125450,124029,
长期借款(万元),364,409,
应付债券(万元),--,0,
长期应付款(万元),--,1,
专项应付款(万元),--,0,
预计非流动负债(万元),--,0,
长期递延收益(万元),--,--,
递延所得税负债(万元),291,91,
其他非流动负债(万元),--,0,
非流动负债合计(万元),654,502,
负债合计(万元),126104,124531,
实收资本(或股本)(万元),51797,51797,
资本公积(万元),44371,35065,
减:库存股(万元),--,0,
专项储备(万元),--,--,
盈余公积(万元),21645,17149,
一般风险准备(万元),--,0,
未确定的投资损失(万元),--,0,
未分配利润(万元),112698,93847,
拟分配现金股利(万元),--,0,
外币报表折算差额(万元),--,0,
归属于母公司股东权益合计(万元),230511,197858,
少数股东权益(万元),3229,507,
所有者权益(或股东权益)合计(万元),233739,198364,
负债和所有者权益(或股东权益)总计(万元),359844,322895,		
  
