报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,
货币资金(万元),185918,154498,87821,82986,79618,64655,70237,46427,38483,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),2200,--,--,--,66,400,--,--,--,
应收账款(万元),343137,--,--,--,34521,31068,13395,7759,2279,
预付款项(万元),16166,1318,3233,1035,3760,12639,19277,8275,7482,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,
其他应收款(万元),42636,46762,41958,62462,100183,104118,58528,55076,28711,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),174823,188893,67992,43816,75965,46491,24419,4363,4516,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,17135,--,--,--,--,--,--,
其他流动资产(万元),27906,14306,1492,960,--,4,41,2,--,
流动资产合计(万元),792786,768387,328281,306048,294113,259376,185896,121902,81471,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),2602,2602,800,800,800,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),140927,54431,7070,10883,--,--,--,--,--,
长期股权投资(万元),34,98,67,--,75,821,903,103,103,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),33,5947,6338,77,92,107,122,136,154,
固定资产原值(万元),65156,48098,--,--,20287,18744,21495,19171,16739,
累计折旧(万元),25436,21629,--,--,7960,6366,9512,8040,8779,
固定资产净值(万元),39720,26469,--,--,12326,12378,11983,11131,7960,
固定资产减值准备(万元),95,261,--,--,--,--,--,--,--,
固定资产(万元),39625,26207,20115,23440,12326,12378,11983,11131,7960,
在建工程(万元),1799,3295,341,559,3811,298,7,625,959,
工程物资(万元),--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),26212,26783,8962,7336,7706,7821,7736,615,567,
开发支出(万元),--,--,--,--,--,--,--,--,--,
商誉(万元),119,119,119,119,102,--,--,--,--,
长期待摊费用(万元),559,873,1065,1384,669,473,--,--,7,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),8816,8195,5872,5361,2579,2232,1451,879,757,
其他非流动资产(万元),--,--,--,16423,--,--,--,--,--,
非流动资产合计(万元),220727,128551,50749,66383,28160,24129,22202,13489,10508,
资产总计(万元),1013513,896938,379030,372430,322273,283505,208098,135391,91979,
短期借款(万元),131105,118500,51500,34000,60500,69200,48000,28941,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,
应付票据(万元),21369,--,--,--,2281,5226,6178,--,--,
应付账款(万元),306845,--,--,--,68367,67648,43790,38739,27188,
预收账款(万元),94398,82316,53648,30900,28003,25513,21697,11481,35714,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),6568,3811,2154,1872,874,1706,1875,132,554,
应交税费(万元),4296,4455,4324,8373,5013,5762,3872,3825,1301,
应付利息(万元),--,--,--,--,508,508,--,--,--,
应付股利(万元),--,--,--,--,--,1,15,1,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,
其他应付款(万元),38534,42788,12464,13818,40115,42046,27083,7669,10263,
预提费用(万元),--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),64380,19980,1100,22232,2240,8350,--,--,--,
其他流动负债(万元),14988,20573,617,--,--,--,--,--,--,
流动负债合计(万元),682482,627499,236216,222223,207901,225959,152511,90788,75018,
长期借款(万元),80530,111920,9900,25400,31140,--,17100,20450,--,
应付债券(万元),--,--,--,--,8862,8739,--,--,--,
长期应付款(万元),--,--,--,--,--,--,219,343,--,
专项应付款(万元),200,--,--,--,--,--,--,--,--,
预计非流动负债(万元),38,--,14,--,--,--,--,581,628,
长期递延收益(万元),311,90,--,--,39,--,--,--,--,
递延所得税负债(万元),--,--,320,213,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,25,--,--,--,
非流动负债合计(万元),81160,112183,10234,25613,40041,8764,17319,21374,628,
负债合计(万元),763643,739681,246450,247836,247942,234723,169830,112162,75647,
实收资本(或股本)(万元),64500,58000,58000,58000,45000,34000,18005,18005,18005,
资本公积(万元),72113,37099,37205,37183,10876,-13,6506,-1600,134,
减:库存股(万元),--,--,--,--,--,--,--,--,--,
专项储备(万元),6701,6572,3994,4155,3883,3498,2048,642,69,
盈余公积(万元),8104,4646,2585,1866,2281,1495,845,469,--,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,
未分配利润(万元),74377,42509,24052,18103,8113,6668,7748,3135,-1894,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),225798,148826,125811,119288,70152,45649,35151,20650,16314,
少数股东权益(万元),24072,8430,6769,5306,4179,3132,3117,2580,19,
所有者权益(或股东权益)合计(万元),249870,157257,132580,124594,74331,48781,38268,23230,16333,
负债和所有者权益(或股东权益)总计(万元),1013513,896938,379030,372430,322273,283505,208098,135391,91979,		
  
