报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),33233,21033,9335,4448,498,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,29,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),2277,1610,--,--,--,
应收账款(万元),9489,5924,8409,9244,3958,
预付款项(万元),361,334,107,454,54,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,--,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),727,1685,452,516,255,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),30378,20855,14212,4866,3188,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),718,681,1251,--,--,
流动资产合计(万元),77183,52122,33766,19528,7982,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,
固定资产原值(万元),9632,8491,4714,--,--,
累计折旧(万元),2002,1256,881,--,--,
固定资产净值(万元),7630,7235,3833,--,--,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),7630,7235,3833,3003,2307,
在建工程(万元),--,--,--,8,53,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),1274,1273,868,851,854,
开发支出(万元),--,--,--,--,--,
商誉(万元),--,--,--,--,--,
长期待摊费用(万元),129,186,267,205,158,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),850,654,485,245,75,
其他非流动资产(万元),489,227,101,202,17,
非流动资产合计(万元),11557,9595,6573,4513,3464,
资产总计(万元),88740,61718,40339,24041,11446,
短期借款(万元),2000,1800,100,1180,815,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),8131,--,--,--,--,
应付账款(万元),7707,6802,3993,4132,3336,
预收账款(万元),631,5773,588,284,103,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),3443,2339,1766,1070,544,
应交税费(万元),678,621,1257,2287,746,
应付利息(万元),--,--,--,--,--,
应付股利(万元),--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),1825,1542,979,3049,235,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),--,380,240,--,--,
其他流动负债(万元),--,--,--,--,--,
流动负债合计(万元),24417,19257,8923,12001,5779,
长期借款(万元),490,--,380,--,--,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,
长期递延收益(万元),785,569,673,552,67,
递延所得税负债(万元),--,--,--,--,0,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),1275,569,1053,552,67,
负债合计(万元),25692,19826,9976,12553,5846,
实收资本(或股本)(万元),7500,7500,7500,1530,1380,
资本公积(万元),15821,15821,15821,1843,776,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),3735,1802,685,835,356,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),35987,16788,6357,7281,3087,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),63048,41892,30363,11489,5598,
少数股东权益(万元),--,--,--,--,2,
所有者权益(或股东权益)合计(万元),63048,41892,30363,11489,5601,
负债和所有者权益(或股东权益)总计(万元),88740,61718,40339,24041,11446,		
  
