报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),19968,20592,17103,11968,11649,14356,9486,6424,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),11372,18542,6845,5486,3807,4790,6483,9073,
应收账款(万元),34440,33580,37779,21569,15008,14503,11874,6151,
预付款项(万元),47,302,208,253,80,46,114,22,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),99,223,86,112,71,104,180,11,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),2845,4787,2681,982,1722,1275,666,464,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),30636,25732,33131,13175,11112,8526,9727,8957,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),365,305,447,10636,55,8,74,--,
流动资产合计(万元),99772,104065,98280,64181,43503,43608,38604,31102,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),26,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),20086,3872,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,
固定资产原值(万元),926,862,752,552,512,497,467,--,
累计折旧(万元),654,539,431,384,337,276,263,--,
固定资产净值(万元),272,322,321,168,175,220,204,--,
固定资产减值准备(万元),2,3,3,4,6,7,8,--,
固定资产(万元),270,320,318,164,169,213,195,96,
在建工程(万元),--,--,--,--,--,--,--,--,
