报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),47405900,56839900,56968300,47505700,44270700,34944200,38322300,24200900,9555400,10277500,5244500,7274000,4258500,
结算备付金(万元),896400,601100,973800,678900,223600,155400,71100,243800,396700,185200,117700,202700,87500,
拆出资金(万元),7443400,6041500,9745000,7663600,4584100,2724100,6542600,844700,354800,446800,30400,119200,172700,
交易性金融资产(万元),82493900,14125000,15396300,7340200,5121500,3025300,2775500,2988000,3066400,2912600,6548600,8493800,4400300,
衍生金融资产(万元),2191100,1619200,883600,827200,431100,340200,97200,81800,600,900,1700,17700,2100,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
应收账款(万元),2279800,7192300,2235300,1677800,1498300,803300,897900,17072700,11600,328400,0,--,0,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
应收保费(万元),6715000,4569400,3532500,3407200,3074000,2420500,1875600,1208900,629800,457600,455400,456800,307300,
应收分保账款(万元),868300,798900,1234800,797700,752000,892400,610900,436900,283000,248300,273300,221200,79500,
应收分保合同准备金(万元),1667100,1563300,1526900,1787200,1558700,1383900,934100,789200,617800,498300,1135400,493100,416100,
应收利息(万元),--,5190000,4495000,4068800,3538700,2894900,2866800,2273500,1417900,926800,693100,418700,324900,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
其他应收款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,0,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
应收保证金(万元),1244600,1225000,1209800,1209300,1158900,1186400,1136700,1026800,828000,652500,596800,244700,185400,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
买入返售金融资产(万元),9295100,9929600,6565700,14205000,19717700,29808000,19078800,3731200,1675900,1474800,1308400,3645700,725100,
存货(万元),--,--,--,--,--,176400,111900,--,9700,156200,0,--,0,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
流动资产合计(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
发放贷款及垫款(万元),192984200,166086400,145829100,124537100,105388200,86177000,70940200,61173100,13196000,10906000,7416000,6312500,4915200,
可供出售金融资产(万元),--,77509800,53724100,51636400,35143500,23080600,29597600,30669100,24288400,24143600,21223600,17853900,9520000,
持有至到期投资(万元),207515100,124376800,100971400,91666900,78349700,74407000,56600900,48000500,33901200,21859800,12650200,12773600,12925000,
长期应收款(万元),16521400,11202800,--,--,--,--,--,--,--,--,0,--,0,
长期股权投资(万元),15489500,8620700,4895500,2685800,1289800,1813800,1589500,1462300,4254000,1325400,602500,220700,41500,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
投资性房地产(万元),4678900,4715400,4239600,2750900,1737100,1826400,1504900,920600,902100,654900,655100,405100,166000,
固定资产原值(万元),6373200,5856100,4974700,4407700,3690300,2622200,2380700,2080800,1057800,1339900,1032600,--,691600,
累计折旧(万元),1825400,1541700,1351400,1170300,1040000,928300,801100,627800,338100,354300,252800,--,221200,
固定资产净值(万元),4547800,4314400,3623300,3237400,2650300,1693900,1579600,1453000,719700,985600,779800,--,470400,
固定资产减值准备(万元),10700,10700,8600,8300,9500,9800,12300,10700,10900,11400,15700,--,15200,
固定资产(万元),4537100,4303700,3614700,3229100,2640800,1684100,1567300,1442300,708800,974200,764100,789400,455200,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
无形资产(万元),2938300,3342800,3655000,2977400,3079400,3210300,2556800,2425100,912800,1184100,950000,362100,94000,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
商誉(万元),2052000,2050700,2063900,1246000,1203700,1179100,1176900,920300,61900,91400,61700,61000,40900,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
递延所得税资产(万元),4518700,4014100,2829200,1566300,1235400,1525300,1068000,1338300,649600,700100,776700,8700,88800,
其他非流动资产(万元),15250200,20652900,18258800,11783300,8458500,6130000,2212200,1659800,828600,569700,586000,321600,432000,
非流动资产合计(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,
资产总计(万元),714296000,649307500,557690300,476515900,400591100,336031200,284426600,228542400,117162700,93571200,70764000,65110400,46328800,
短期借款(万元),9362700,9031000,5690400,4261000,2090100,1039100,356600,299400,368100,501100,307100,371900,52700,
向中央银行借款(万元),--,--,--,--,--,--,1616800,--,--,--,0,--,0,
