报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),30879,46268,5435,15563,2972,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),1455,3399,4768,2613,780,
应收账款(万元),21097,15905,12514,9064,3526,
预付款项(万元),1229,108,1995,1094,7594,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),60,--,--,--,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),54,16,2,55,54,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),43552,33260,30116,26780,25000,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),385,227,693,292,1305,
流动资产合计(万元),98712,99182,55523,55462,41231,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,
固定资产原值(万元),26819,19131,16455,--,--,
累计折旧(万元),6279,5009,3726,--,--,
固定资产净值(万元),20540,14122,12729,--,--,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),20540,14122,12729,10666,11938,
在建工程(万元),15853,17638,7856,2408,173,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),4412,4578,4665,4702,4577,
开发支出(万元),--,--,--,--,--,
商誉(万元),--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),342,344,303,253,119,
其他非流动资产(万元),326,685,4321,1892,358,
非流动资产合计(万元),41472,37368,29874,19920,17166,
资产总计(万元),140184,136550,85397,75382,58397,
短期借款(万元),25200,33514,25676,25864,25672,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),4607,--,--,--,--,
应付账款(万元),19266,15474,10760,7293,6356,
预收账款(万元),164,290,199,322,353,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),1025,684,572,71,217,
应交税费(万元),364,424,886,1257,963,
应付利息(万元),35,52,43,43,55,
应付股利(万元),--,--,--,--,1059,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),3413,4758,1630,1066,1627,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,200,188,200,
其他流动负债(万元),--,13,--,--,--,
流动负债合计(万元),54073,55209,39967,36104,36502,
长期借款(万元),--,--,1086,1133,1311,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,
长期递延收益(万元),230,217,--,--,--,
递延所得税负债(万元),--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),230,217,1086,1133,1311,
负债合计(万元),54303,55426,41052,37238,37813,
实收资本(或股本)(万元),24000,24000,18000,18000,14000,
资本公积(万元),37368,37368,12927,12927,2030,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),2357,1794,1187,622,227,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),19699,16764,11132,5868,2291,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),83135,79872,43128,37003,18394,
少数股东权益(万元),2746,1252,1217,1141,2191,
所有者权益(或股东权益)合计(万元),85881,81124,44345,38144,20585,
负债和所有者权益(或股东权益)总计(万元),140184,136550,85397,75382,58397,		
  
