报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),9281,20066,29837,21167,37667,36138,47418,9183,11605,3933,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,1,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,
应收票据(万元),2470,4018,4343,2756,845,230,--,69,--,--,
应收账款(万元),51514,58922,74645,76799,60334,20655,11817,10821,4751,3814,
预付款项(万元),2092,2302,1227,325,472,2793,797,1462,766,1033,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,0,32,63,58,73,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),3641,2197,1705,9043,10066,3912,378,789,265,244,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
存货(万元),11387,10741,9702,11667,8481,6669,3803,3570,1287,1770,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),490,1251,3216,428,2187,216,--,--,--,--,
流动资产合计(万元),80875,99496,124707,122248,120108,70686,64213,25894,18673,10793,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),8130,8130,2230,2230,70,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),35718,13311,4237,2195,--,--,674,200,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),2284,460,953,1029,1107,976,--,--,--,--,
固定资产原值(万元),45934,54932,30383,22499,19820,14996,10578,6777,6255,1849,
累计折旧(万元),9875,10913,9349,7654,5989,3575,1433,920,651,574,
固定资产净值(万元),36059,44020,21034,14845,13831,11421,9145,5857,5604,1275,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,
固定资产(万元),36059,44020,21034,14845,13831,11421,9145,5857,5604,1275,
在建工程(万元),10333,8104,22901,23517,16026,4994,956,401,89,2667,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,
无形资产(万元),5839,6817,12802,13136,13677,3629,3613,946,31,51,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,
商誉(万元),344,344,34757,35635,32331,1083,--,--,--,--,
长期待摊费用(万元),--,--,--,--,51,15,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1096,904,959,796,558,258,113,239,154,123,
其他非流动资产(万元),1701,1817,2101,2166,1012,--,--,--,--,--,
非流动资产合计(万元),101503,83906,101973,95550,78664,22377,14502,7643,5878,4115,
资产总计(万元),182379,183402,226680,217797,198772,93063,78714,33537,24551,14909,
短期借款(万元),14488,12000,7600,11950,10800,7850,1300,1500,1400,2180,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,496,1025,5504,3475,2761,3124,368,--,--,
应付账款(万元),13647,20482,35089,35721,22460,10920,4982,6051,2662,2374,
预收账款(万元),1014,8746,609,638,576,337,411,24,4,185,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1202,1151,1261,1119,1026,853,1217,733,235,371,
应交税费(万元),901,1035,1787,1162,1741,725,971,1611,827,563,
应付利息(万元),--,--,17,--,--,--,--,--,--,--,
应付股利(万元),293,528,528,528,1553,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),5285,6071,12765,2343,11308,228,391,16,26,3,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),9605,17211,6300,2119,--,--,--,--,--,--,
其他流动负债(万元),100,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),46534,67719,66981,61083,52939,23674,12395,10303,5154,5676,
长期借款(万元),7886,10041,6216,10489,3052,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),21192,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,2000,2000,--,--,--,--,--,
长期递延收益(万元),719,1266,1641,1756,2068,--,--,--,--,--,
递延所得税负债(万元),355,370,568,653,745,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,445,533,551,161,274,586,
非流动负债合计(万元),30152,11677,8425,14899,8309,533,551,161,274,586,
负债合计(万元),76686,79396,75406,75981,61248,24207,12947,10464,5428,6262,
实收资本(或股本)(万元),41112,41485,16612,16122,16122,13001,8667,6500,6500,5158,
资本公积(万元),73929,76920,103693,92685,92688,36389,40723,7460,7460,2092,
减:库存股(万元),2504,5412,9545,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),2128,2128,2128,2042,2042,1773,1522,1142,519,146,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),-9346,-11686,28044,22073,18763,16739,14856,7971,4643,1250,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),105319,103435,140932,132923,129615,67901,65768,23073,19123,8647,
少数股东权益(万元),374,570,10343,8893,7909,954,--,--,--,--,
所有者权益(或股东权益)合计(万元),105693,104006,151275,141816,137524,68856,65768,23073,19123,8647,
负债和所有者权益(或股东权益)总计(万元),182379,183402,226680,217797,198772,93063,78714,33537,24551,14909,		
  
