报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),31132,30528,41707,28906,31905,32241,32881,42585,42767,6711,11700,8459,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,190,75,96,75,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),26039,22008,16562,15302,15376,15633,13827,8895,3131,792,669,541,
应收账款(万元),41873,37834,60544,34696,32962,30564,30530,29582,21198,16483,15310,11065,
预付款项(万元),2873,1759,5610,748,921,961,2011,3345,2985,2327,1599,755,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收利息(万元),216,135,189,40,118,160,276,497,315,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他应收款(万元),1199,4909,1914,782,778,862,640,593,697,1062,0,620,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
存货(万元),25879,25181,38802,16079,18245,15604,13891,17679,14974,11759,366,8710,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,0,10112,0,
其他流动资产(万元),28888,27061,200,213,188,234,152,--,--,0,0,0,
流动资产合计(万元),158100,149415,165528,96765,100492,96449,94282,103272,86142,39135,39757,30150,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
可供出售金融资产(万元),16029,16029,29,6167,29,--,--,--,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
长期应收款(万元),--,--,398,--,--,--,--,--,--,0,0,0,
长期股权投资(万元),--,--,--,--,--,29,1225,29,29,29,17,17,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
投资性房地产(万元),260,439,992,862,198,216,235,254,152,163,173,220,
固定资产原值(万元),74001,72609,90118,69922,69097,52466,42149,38254,28698,25563,23269,0,
累计折旧(万元),41771,37576,37963,29567,24823,21077,17490,14621,12464,10528,8752,0,
固定资产净值(万元),32231,35033,52155,40355,44274,31389,24658,23633,16235,15035,14517,0,
