报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),41545,25365,25409,4858,4014,2385,5839,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),334,1893,6590,5217,4843,3110,3647,
应收账款(万元),10183,11263,11660,11189,9895,8067,8718,
预付款项(万元),101,64,60,24,55,38,55,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,664,885,--,819,--,
其他应收款(万元),50,4013,444,401,18,20,168,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),6421,6331,3180,3883,5245,5581,3650,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),313,11075,5035,3555,--,--,567,
流动资产合计(万元),58946,60005,53041,30012,24070,20019,22642,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),3870,500,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),4660,4187,8542,3219,3316,3429,3018,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),52935,46748,43166,43395,44884,40066,--,
累计折旧(万元),25889,22779,20712,17792,16242,13308,--,
固定资产净值(万元),27046,23969,22454,25602,28642,26758,--,
固定资产减值准备(万元),812,850,895,895,917,979,--,
固定资产(万元),26234,23120,21559,24707,27725,25780,27532,
在建工程(万元),853,--,--,--,--,4694,4598,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,11,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),2342,2310,1201,1260,1276,1306,1336,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),548,534,109,137,--,7,15,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),417,255,222,240,224,234,215,
