报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),2965,8915,8686,2173,611,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),2156,--,--,--,--,
应收账款(万元),12672,--,--,--,6505,
预付款项(万元),1127,368,271,82,207,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,--,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),1011,--,--,--,59,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),10512,8671,5777,5203,4903,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),856,556,150,3667,1679,
流动资产合计(万元),31299,34578,24496,20084,13964,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),--,--,--,4047,--,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,
固定资产原值(万元),29501,25375,21915,17390,--,
累计折旧(万元),10307,8429,6968,4064,--,
固定资产净值(万元),19194,16946,14947,13326,--,
固定资产减值准备(万元),149,149,149,149,--,
固定资产(万元),19045,16798,14799,13178,13475,
在建工程(万元),13519,2909,1596,637,68,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),3614,3617,3524,14,19,
开发支出(万元),--,--,--,--,--,
商誉(万元),--,--,--,--,--,
长期待摊费用(万元),818,259,249,94,--,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),315,92,170,127,92,
其他非流动资产(万元),3236,1512,1797,814,936,
非流动资产合计(万元),40547,25188,22134,18910,14591,
资产总计(万元),71846,59766,46630,38994,28554,
短期借款(万元),785,--,--,4000,3000,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),--,--,--,--,--,
应付账款(万元),9267,--,--,--,2978,
预收账款(万元),682,--,2,--,--,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),1887,1737,1413,971,610,
应交税费(万元),2185,2342,2570,1616,1204,
应付利息(万元),11,--,--,--,6,
应付股利(万元),--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),488,--,--,--,66,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,
流动负债合计(万元),15304,11058,7847,15175,7864,
长期借款(万元),--,--,--,--,--,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,
长期递延收益(万元),163,193,222,252,178,
递延所得税负债(万元),--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),163,193,222,252,178,
负债合计(万元),15468,11250,8070,15427,8041,
实收资本(或股本)(万元),13500,13500,13500,4129,1200,
资本公积(万元),23460,23460,23460,970,--,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),1963,1363,465,2838,2042,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),17439,10193,1189,15630,17271,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),56362,48516,38614,23567,20513,
少数股东权益(万元),17,-0,-54,--,--,
所有者权益(或股东权益)合计(万元),56378,48516,38560,23567,20513,
负债和所有者权益(或股东权益)总计(万元),71846,59766,46630,38994,28554,		
  
