报告日期,2018-12-31,2017-12-31,2016-12-31,2010-12-31,
货币资金(万元),1361,7,14,3,
结算备付金(万元),--,--,--,0,
拆出资金(万元),--,--,--,0,
交易性金融资产(万元),608,--,--,0,
衍生金融资产(万元),--,--,--,0,
应收票据(万元),--,--,--,0,
应收账款(万元),193,--,--,0,
预付款项(万元),400,4,1,0,
应收保费(万元),--,--,--,0,
应收分保账款(万元),--,--,--,0,
应收分保合同准备金(万元),--,--,--,0,
应收利息(万元),--,--,--,0,
应收股利(万元),302,--,--,0,
其他应收款(万元),5120,3,4,1761,
应收出口退税(万元), --,--,--,0,
应收补贴款(万元),--,--,--,0,
应收保证金(万元),--,--,--,0,
内部应收款(万元),--,--,--,0,
买入返售金融资产(万元),--,--,--,0,
存货(万元),10403,272,300,365,
待摊费用(万元),--,--,--,0,
待处理流动资产损益(万元),--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,0,
其他流动资产(万元),5828,--,--,0,
流动资产合计(万元),24216,285,319,2129,
发放贷款及垫款(万元),--,--,--,0,
可供出售金融资产(万元),10604,--,--,0,
持有至到期投资(万元),--,--,--,0,
长期应收款(万元),--,--,--,0,
长期股权投资(万元),--,--,--,0,
其他长期投资(万元),--,--,--,0,
投资性房地产(万元),785,--,--,0,
固定资产原值(万元),--,--,--,51,
累计折旧(万元),--,--,--,48,
固定资产净值(万元),--,--,--,3,
固定资产减值准备(万元),--,--,--,0,
固定资产(万元),166,3,3,3,
在建工程(万元),--,--,--,0,
工程物资(万元),--,--,--,0,
固定资产清理(万元),--,--,--,0,
生产性生物资产(万元),--,--,--,0,
公益性生物资产(万元),--,--,--,0,
油气资产(万元),--,--,--,0,
无形资产(万元),11,--,--,0,
开发支出(万元),--,--,--,0,
商誉(万元),--,--,--,0,
长期待摊费用(万元),27,--,--,0,
股权分置流通权(万元),--,--,--,0,
递延所得税资产(万元),344,--,--,0,
其他非流动资产(万元),--,--,--,0,
非流动资产合计(万元),11937,3,3,3,
资产总计(万元),36152,288,322,2132,
短期借款(万元),3800,--,--,14938,
向中央银行借款(万元),--,--,--,0,
吸收存款及同业存放(万元),--,--,--,0,
拆入资金(万元),--,--,--,0,
交易性金融负债(万元),3216,--,--,0,
衍生金融负债(万元),--,--,--,0,
应付票据(万元),--,--,--,0,
应付账款(万元),1796,940,940,962,
预收账款(万元),1291,83,83,85,
卖出回购金融资产款(万元),--,--,--,0,
应付手续费及佣金(万元),--,--,--,0,
应付职工薪酬(万元),48,37,37,0,
应交税费(万元),1391,1390,1390,2991,
应付利息(万元),9,--,--,0,
应付股利(万元),1569,1569,1569,1931,
其他应交款(万元),--,--,--,6,
应付保证金(万元),--,--,--,0,
内部应付款(万元),--,--,--,0,
其他应付款(万元),5923,4200,4089,23650,
预提费用(万元),--,--,--,9292,
预计流动负债(万元),--,--,--,60865,
应付分保账款(万元),--,--,--,0,
保险合同准备金(万元),--,--,--,0,
代理买卖证券款(万元),--,--,--,0,
代理承销证券款(万元),--,--,--,0,
国际票证结算(万元),--,--,--,0,
国内票证结算(万元),--,--,--,0,
递延收益(万元),--,--,--,0,
应付短期债券(万元),--,--,--,0,
一年内到期的非流动负债(万元),--,--,--,0,
其他流动负债(万元),5752,--,--,0,
流动负债合计(万元),24795,8219,8108,114721,
长期借款(万元),--,--,--,0,
应付债券(万元),--,--,--,0,
长期应付款(万元),--,--,--,0,
专项应付款(万元),--,--,--,0,
预计非流动负债(万元),13695,13695,13695,0,
长期递延收益(万元),--,--,--,0,
递延所得税负债(万元),1325,--,--,0,
其他非流动负债(万元),--,--,--,0,
非流动负债合计(万元),15020,13695,13695,0,
负债合计(万元),39815,21914,21802,114721,
实收资本(或股本)(万元),108664,28664,28664,28664,
资本公积(万元),-120680,83726,83726,83726,
减:库存股(万元),--,--,--,0,
专项储备(万元),--,--,--,0,
盈余公积(万元),307,8731,8731,8731,
一般风险准备(万元),--,--,--,0,
未确定的投资损失(万元),--,--,--,0,
未分配利润(万元),3974,-142747,-142601,-233710,
拟分配现金股利(万元),--,--,--,0,
外币报表折算差额(万元),--,--,--,0,
归属于母公司股东权益合计(万元),-3759,-21626,-21480,-112589,
少数股东权益(万元),97,--,--,0,
所有者权益(或股东权益)合计(万元),-3662,-21626,-21480,-112589,
负债和所有者权益(或股东权益)总计(万元),36152,288,322,2132,		
  
