报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),46555,7020,41856,49898,27565,16184,19000,32547,6779,1874,926,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),5533,3147,3570,6096,4048,4699,2509,1759,237,570,1,
应收账款(万元),12264,10129,5136,5602,10069,13164,9369,6952,6209,8817,7411,
预付款项(万元),1686,1961,2147,723,1228,5259,425,95,509,685,74,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),523,463,226,238,199,296,443,611,384,777,134,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
存货(万元),24132,19661,19121,15931,13800,12474,15025,14009,8562,7989,7599,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1960,67386,69984,22617,--,--,--,--,--,--,--,
流动资产合计(万元),92653,109767,142038,101104,56909,52076,46771,55973,22680,20713,16145,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),4250,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),454,481,508,534,559,--,--,--,--,--,--,
固定资产原值(万元),121109,30551,29910,27780,27409,25022,24859,23934,21571,20235,19977,
累计折旧(万元),10198,15392,13699,12177,11051,10656,9808,8625,7557,7142,6667,
固定资产净值(万元),110910,15158,16211,15602,16358,14366,15050,15308,14014,13094,13310,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),110910,15158,16211,15602,16358,14366,15050,15308,14014,13094,13310,
在建工程(万元),11393,94840,30910,3176,346,15047,11726,3008,1155,611,294,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),6849,--,--,3278,15280,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),12478,12759,11870,12026,14788,8452,8544,8472,7192,7415,10126,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),56,87,104,105,128,116,--,--,430,300,125,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),495,539,487,416,294,252,201,161,145,73,52,
其他非流动资产(万元),12600,1352,1542,--,--,--,--,--,--,--,--,
非流动资产合计(万元),159487,125216,61633,35138,47752,38232,35521,26950,22936,21492,23906,
资产总计(万元),252139,234983,203671,136242,104662,90308,82291,82923,45616,42205,40052,
短期借款(万元),--,--,--,--,2600,12400,7600,7600,4600,4600,4600,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,4434,5411,516,644,--,--,--,--,--,--,
应付账款(万元),43545,27938,4998,4756,5693,1517,4392,5830,2954,3860,4262,
预收账款(万元),1254,1202,1188,1321,907,553,380,367,348,1158,167,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),361,254,225,498,329,220,--,--,--,2619,3026,
应交税费(万元),795,1332,262,248,239,363,411,1224,1031,348,142,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),1435,1304,1180,1291,779,973,433,1734,2663,3222,3817,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),1725,--,--,--,--,--,--,--,--,--,1300,
其他流动负债(万元),--,628,352,125,213,55,55,--,35,--,--,
流动负债合计(万元),49116,37092,13616,8756,11404,16080,13271,16755,11630,15806,17313,
长期借款(万元),--,--,--,--,--,--,200,200,200,200,200,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),9342,10939,10811,--,--,--,--,--,--,--,--,
专项应付款(万元),29355,48857,47742,1500,19053,3491,813,813,813,813,813,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),20147,2180,2444,2621,683,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,400,454,347,327,90,44,
非流动负债合计(万元),58844,61976,60997,4121,19735,3890,1467,1360,1340,1103,1057,
负债合计(万元),107960,99068,74613,12877,31140,19970,14738,18114,12970,16909,18370,
实收资本(或股本)(万元),51066,51066,51066,51066,17772,8886,8886,8078,6058,6058,6058,
资本公积(万元),34301,32801,32801,32801,20276,29162,29162,29162,2226,--,--,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),180,180,120,60,--,--,--,--,--,--,--,
盈余公积(万元),7753,7017,6293,5690,5242,4880,4567,4263,3942,3430,3069,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),50879,44851,38778,33749,30232,27409,24939,23305,20420,15808,12555,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),144179,135915,129058,123365,73522,70337,67553,64808,32646,25296,21681,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),144179,135915,129058,123365,73522,70337,67553,64808,32646,25296,21681,
负债和所有者权益(或股东权益)总计(万元),252139,234983,203671,136242,104662,90308,82291,82923,45616,42205,40052,		
  
