报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),315045,294109,270454,104422,54989,37341,17280,9990,34379,5410,4844,2331,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
交易性金融资产(万元),--,--,1074,--,--,--,0,--,--,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应收票据(万元),60005,23904,15561,14873,18997,15385,13164,2771,1261,3368,1105,1892,
应收账款(万元),622802,606307,334028,169057,119250,69529,60990,38998,35470,20537,14395,12087,
预付款项(万元),19430,42672,22748,9742,11132,2860,2713,17620,13057,1137,2942,1418,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,--,
其他应收款(万元),112853,6740,3551,3178,1825,1405,732,391,514,125,120,147,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,
存货(万元),399015,337564,245506,122975,86452,53000,50211,31393,17805,8352,4545,2912,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,--,
一年内到期的非流动资产(万元),--,3435,1301,138,--,--,--,--,--,0,0,--,
其他流动资产(万元),86062,36987,24795,34405,8312,4557,6081,528,--,0,0,--,
流动资产合计(万元),1615212,1351718,919017,458790,300957,184076,151169,101691,102485,38930,27952,20786,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
可供出售金融资产(万元),39295,49697,2132,2132,560,--,--,--,--,0,0,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,--,
长期应收款(万元),7500,5076,3468,952,2400,1560,--,--,--,0,0,--,
长期股权投资(万元),12530,17529,12606,5437,6278,6250,4464,20181,23018,0,0,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,--,
投资性房地产(万元),4231,--,--,--,--,--,--,--,--,0,0,--,
固定资产原值(万元),1560507,678651,549759,252319,205453,142914,123942,79071,45221,36652,28397,--,
累计折旧(万元),584238,275648,266344,82247,63555,34256,24877,16656,12189,8765,5970,--,
固定资产净值(万元),976269,403002,283415,170072,141898,108658,99065,62415,33032,27886,22427,--,
固定资产减值准备(万元),1681,204,661,661,661,--,--,--,--,0,0,--,
固定资产(万元),974588,402799,282754,169411,141237,108658,99065,62415,33032,27886,22427,19048,
在建工程(万元),153177,130274,53345,17625,19496,9821,6604,3543,7192,0,39,0,
工程物资(万元),--,--,--,--,--,--,--,--,44,0,0,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,0,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,
无形资产(万元),35651,21538,21104,8971,8672,7141,3806,3804,2974,1093,1166,987,
开发支出(万元),--,--,--,--,--,--,--,--,--,0,0,--,
商誉(万元),222059,205971,192524,15479,15479,83,83,83,83,0,0,--,
长期待摊费用(万元),17718,16555,12284,6793,5315,2156,1787,1585,246,0,0,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,--,
递延所得税资产(万元),22727,9465,14257,5653,4577,3505,2857,1255,640,408,303,257,
其他非流动资产(万元),8878,726,389,--,6437,4886,4126,--,--,0,0,--,
非流动资产合计(万元),1498353,859630,594864,232454,210450,144060,122793,92867,67229,29387,23935,20291,
资产总计(万元),3113566,2211348,1513881,691243,511408,328137,273962,194558,169714,68317,51887,41078,
短期借款(万元),943637,631832,480408,196185,159755,79175,62330,13184,500,10012,9354,8867,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
