报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),24404,22897,17675,42334,34174,50504,69965,76114,10414,12306,5457,7874,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),81,--,--,--,--,--,--,--,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),5604,1171,3345,1910,478,37,252,615,--,200,140,197,
应收账款(万元),52645,55035,39739,41926,49776,38059,29889,30868,19507,9538,3969,2407,
预付款项(万元),1903,2777,1741,1972,1886,1069,6955,3206,1801,598,608,156,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收利息(万元),5,54,26,205,1002,2259,2721,1328,--,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他应收款(万元),784,103,67,278,375,80,289,241,272,286,235,208,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
存货(万元),21752,20070,17709,16892,16416,12673,8958,7422,7329,5917,4649,3155,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),900,--,--,--,--,--,--,--,--,0,0,0,
其他流动资产(万元),3388,7887,8087,3804,100,140,--,--,--,0,0,0,
流动资产合计(万元),111465,109994,88389,109321,104209,104822,119028,119794,39322,28846,15058,13998,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
可供出售金融资产(万元),4625,4906,5851,--,--,--,--,--,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
长期应收款(万元),2289,--,15669,--,--,--,--,--,--,0,0,0,
长期股权投资(万元),27470,13413,12765,--,13218,9870,--,--,--,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
投资性房地产(万元),1107,1149,1187,1229,1270,--,--,--,--,0,0,0,
固定资产原值(万元),65664,64145,51875,60225,40786,37073,27409,13418,10811,6031,4556,0,
累计折旧(万元),28455,21277,20593,18170,9094,6070,3509,2205,1615,1005,681,0,
固定资产净值(万元),37208,42869,31282,42055,31693,31003,23899,11214,9197,5026,3875,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,0,0,0,
固定资产(万元),37208,42869,31282,42055,31693,31003,23899,11214,9197,5026,3875,2182,
在建工程(万元),3255,3048,2888,2685,3582,4541,4042,3871,566,71,184,0,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
