报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),16033,6234,3456,2025,2591,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),13,--,288,--,--,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),2308,312,65,583,107,
应收账款(万元),6540,7508,6924,6024,5492,
预付款项(万元),473,413,150,45,57,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,--,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),246,203,240,434,179,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),7566,5948,4501,4973,3906,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),12342,--,17,588,164,
流动资产合计(万元),45521,20618,15642,14670,12498,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,
固定资产原值(万元),19027,16688,14770,14091,--,
累计折旧(万元),6432,5974,5039,3969,--,
固定资产净值(万元),12595,10714,9732,10122,--,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),12595,10714,9732,10122,10373,
在建工程(万元),94,--,--,--,--,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),2230,2165,2217,2268,2320,
开发支出(万元),--,--,--,--,--,
商誉(万元),--,--,--,--,--,
长期待摊费用(万元),438,149,77,111,145,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),131,121,85,98,112,
其他非流动资产(万元),418,201,257,50,261,
非流动资产合计(万元),15906,13350,12367,12649,13210,
资产总计(万元),61427,33967,28009,27319,25708,
短期借款(万元),4500,3100,3250,2000,1000,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),1566,2759,2437,--,--,
应付账款(万元),4241,4842,3737,4056,4098,
预收账款(万元),22,15,26,27,22,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),995,752,722,672,539,
应交税费(万元),295,311,237,235,177,
应付利息(万元),6,4,3,3,11,
应付股利(万元),--,--,--,--,1080,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),5,7,161,9725,11621,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,
其他流动负债(万元),--,21,--,--,--,
流动负债合计(万元),11630,11811,10572,16719,18548,
长期借款(万元),--,--,--,--,--,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,
长期递延收益(万元),171,--,--,--,--,
递延所得税负债(万元),2,--,50,--,--,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),173,0,50,0,0,
负债合计(万元),11803,11811,10622,16719,18548,
实收资本(或股本)(万元),8888,6666,6666,1143,1609,
资本公积(万元),26123,5462,5462,94,--,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),1111,771,351,897,897,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),13507,9271,4910,8449,4671,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),49624,22157,17386,10600,7160,
少数股东权益(万元),--,--,--,--,--,
所有者权益(或股东权益)合计(万元),49624,22157,17386,10600,7160,
负债和所有者权益(或股东权益)总计(万元),61427,33967,28009,27319,25708,		
  
