报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),57856,52089,25411,27448,33422,19054,23052,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),131,--,--,--,30,--,--,
应收账款(万元),15796,12600,12723,7986,8550,13320,11508,
预付款项(万元),5230,2043,2843,1883,5470,2539,9248,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),0,--,--,--,--,--,--,
应收股利(万元),0,--,--,--,--,--,--,
其他应收款(万元),297,264,182,258,541,360,285,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),26272,21434,13388,12954,11569,18447,15323,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),5354,19280,2143,1247,29,3186,--,
流动资产合计(万元),110936,107709,56690,51776,59612,56906,59416,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),0,--,--,--,--,1800,1800,
持有至到期投资(万元),0,--,--,--,--,--,--,
长期应收款(万元),0,--,--,--,--,--,--,
长期股权投资(万元),0,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),0,--,--,--,--,--,--,
固定资产原值(万元),66234,59173,55813,48146,35551,32772,--,
累计折旧(万元),26448,22426,18817,15465,13412,11038,--,
固定资产净值(万元),39786,36748,36996,32681,22139,21734,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),39786,36748,36996,32681,22139,21734,19376,
在建工程(万元),2089,1470,882,7826,12080,1882,1302,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),18518,15354,15578,14828,15174,9474,9699,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),4381,4074,3349,987,200,149,127,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),1340,1393,1412,1484,1022,261,251,
其他非流动资产(万元),1595,598,91,538,1202,4239,--,
非流动资产合计(万元),67709,59636,58308,58343,51817,39538,32555,
资产总计(万元),178645,167346,114998,110120,111429,96444,91971,
短期借款(万元),198,1000,12460,12800,17700,18800,20900,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),--,1764,2095,3228,2733,2704,3745,
应付账款(万元),11541,11200,11420,8293,6987,6703,7336,
预收账款(万元),12596,16294,10648,13823,17031,18672,19551,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),3717,3504,2563,2166,2265,2509,1681,
应交税费(万元),2877,2541,2946,3496,2811,3396,1801,
应付利息(万元),0,--,--,--,--,--,--,
应付股利(万元),0,0,1,--,3851,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),293,427,661,399,194,329,216,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),0,--,--,--,--,--,--,
其他流动负债(万元),996,1135,793,541,552,48,--,
流动负债合计(万元),32217,37864,43587,44745,54125,53162,55230,
长期借款(万元),0,--,--,--,--,--,--,
应付债券(万元),0,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),0,--,--,--,--,--,--,
长期递延收益(万元),4534,4996,5087,5370,3473,--,--,
递延所得税负债(万元),661,--,--,--,--,--,--,
其他非流动负债(万元),0,--,--,--,--,--,--,
非流动负债合计(万元),5194,4996,5087,5370,3473,0,0,
负债合计(万元),37411,42860,48674,50114,57599,53162,55230,
实收资本(或股本)(万元),30400,30400,22800,22800,22800,20800,20297,
资本公积(万元),57476,57476,17240,17240,17240,15640,1382,
减:库存股(万元),0,--,--,--,--,--,--,
专项储备(万元),0,--,--,--,--,--,--,
盈余公积(万元),6713,4905,4046,2665,1751,734,2082,
一般风险准备(万元),0,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),46645,31705,22238,17300,12039,6108,12981,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),141234,124486,66324,60005,53830,43282,36741,
少数股东权益(万元),--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),141234,124486,66324,60005,53830,43282,36741,
负债和所有者权益(或股东权益)总计(万元),178645,167346,114998,110120,111429,96444,91971,		
  
