报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),11410,7797,4411,3294,4973,6057,7489,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),40,--,5,--,21,--,27,
应收账款(万元),17471,13712,12067,11716,13156,8841,7321,
预付款项(万元),4172,1728,1011,1125,888,1446,630,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,123,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),975,1189,1063,867,881,664,754,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),12076,8988,6520,6824,8777,9389,7073,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),506,10198,16,124,1657,1210,145,
流动资产合计(万元),46650,43734,25093,23951,30352,27606,23438,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),5017,4482,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),248,276,303,331,111,--,--,
固定资产原值(万元),39698,25424,17993,17522,13604,--,--,
累计折旧(万元),8188,6099,5198,4099,3323,--,--,
固定资产净值(万元),31511,19324,12796,13423,10282,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),31511,19324,12796,13423,10282,6204,4842,
在建工程(万元),349,1019,4145,635,602,368,1008,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),5605,5019,5168,4084,4146,3405,2203,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),147,95,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),783,641,492,416,608,323,217,
其他非流动资产(万元),1985,10142,943,1199,2213,4566,1623,
非流动资产合计(万元),45645,40997,23847,20088,17961,14867,9892,
资产总计(万元),92295,84731,48940,44039,48313,42472,33331,
短期借款(万元),11174,13000,3000,--,5000,7500,3500,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),--,--,--,350,3197,4157,3480,
应付账款(万元),7224,4555,4373,4572,6224,5384,4071,
预收账款(万元),5408,2778,4247,5670,5066,6926,6144,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),672,557,542,781,632,676,843,
应交税费(万元),1235,1465,1248,709,772,262,357,
应付利息(万元),10,16,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),1198,722,686,707,687,702,532,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,
流动负债合计(万元),26921,23093,14095,12789,21577,25606,18927,
长期借款(万元),--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,
长期递延收益(万元),446,390,200,100,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),446,390,200,100,0,0,0,
负债合计(万元),27367,23483,14295,12889,21577,25606,18927,
实收资本(或股本)(万元),7573,7573,5680,5680,5680,5086,3100,
资本公积(万元),24852,24852,4530,4530,4530,140,700,
减:库存股(万元),--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),2870,2470,2033,1595,1165,742,559,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),29494,26353,22402,19345,15362,10898,10045,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),64788,61248,34645,31150,26736,16866,14404,
少数股东权益(万元),139,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),64928,61248,34645,31150,26736,16866,14404,
负债和所有者权益(或股东权益)总计(万元),92295,84731,48940,44039,48313,42472,33331,		
  
