报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),87007,76366,68236,41109,
结算备付金(万元),--,--,--,--,
拆出资金(万元),--,--,--,--,
交易性金融资产(万元),--,--,--,--,
衍生金融资产(万元),--,--,--,--,
应收票据(万元),--,--,--,200,
应收账款(万元),140001,130685,112983,103296,
预付款项(万元),535,432,190,2676,
应收保费(万元),--,--,--,--,
应收分保账款(万元),--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,
应收利息(万元),--,--,--,--,
应收股利(万元),--,--,--,--,
其他应收款(万元),14230,17553,11920,94708,
应收出口退税(万元), --,--,--,--,
应收补贴款(万元),--,--,--,--,
应收保证金(万元),--,--,--,--,
内部应收款(万元),--,--,--,--,
买入返售金融资产(万元),--,--,--,--,
存货(万元),79235,77318,70555,36804,
待摊费用(万元),--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,
一年内到期的非流动资产(万元),13785,11508,12064,4457,
其他流动资产(万元),904,132,434,--,
流动资产合计(万元),335698,313994,276381,283250,
发放贷款及垫款(万元),--,--,--,--,
可供出售金融资产(万元),239,239,239,10,
持有至到期投资(万元),--,--,--,--,
长期应收款(万元),56007,23507,48463,47105,
长期股权投资(万元),--,--,--,399,
其他长期投资(万元),--,--,--,--,
投资性房地产(万元),10481,10840,11198,360,
固定资产原值(万元),7300,--,--,--,
累计折旧(万元),3315,--,--,--,
固定资产净值(万元),3985,--,--,--,
固定资产减值准备(万元),--,--,--,--,
固定资产(万元),3985,2236,3006,3246,
在建工程(万元),--,--,--,--,
工程物资(万元),--,--,--,--,
固定资产清理(万元),--,--,--,--,
生产性生物资产(万元),--,--,--,--,
公益性生物资产(万元),--,--,--,--,
油气资产(万元),--,--,--,--,
无形资产(万元),214,182,187,130,
开发支出(万元),--,--,--,--,
商誉(万元),--,--,--,--,
长期待摊费用(万元),99,280,419,530,
股权分置流通权(万元),--,--,--,--,
递延所得税资产(万元),2939,2015,1453,1557,
其他非流动资产(万元),--,--,--,11440,
非流动资产合计(万元),73964,39299,64965,64777,
资产总计(万元),409662,353293,341346,348027,
短期借款(万元),19798,10179,11500,37793,
向中央银行借款(万元),--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,
拆入资金(万元),--,--,--,--,
交易性金融负债(万元),--,--,--,--,
衍生金融负债(万元),--,--,--,--,
应付票据(万元),18320,13074,10987,24506,
应付账款(万元),238555,214436,216143,176288,
预收账款(万元),13320,7321,8359,4451,
卖出回购金融资产款(万元),--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,
应付职工薪酬(万元),2067,1421,975,615,
应交税费(万元),3275,5540,4460,8266,
应付利息(万元),--,--,--,--,
应付股利(万元),--,--,--,--,
其他应交款(万元),--,--,--,--,
应付保证金(万元),--,--,--,--,
内部应付款(万元),--,--,--,--,
其他应付款(万元),17016,20226,17619,23462,
预提费用(万元),--,--,--,--,
预计流动负债(万元),--,--,--,--,
应付分保账款(万元),--,--,--,--,
保险合同准备金(万元),--,--,--,--,
代理买卖证券款(万元),--,--,--,--,
代理承销证券款(万元),--,--,--,--,
国际票证结算(万元),--,--,--,--,
国内票证结算(万元),--,--,--,--,
递延收益(万元),--,--,--,--,
应付短期债券(万元),--,--,--,--,
一年内到期的非流动负债(万元),--,--,731,6993,
其他流动负债(万元),11607,10110,8843,--,
流动负债合计(万元),323958,282308,279618,282374,
长期借款(万元),4000,--,--,14840,
应付债券(万元),--,--,--,--,
长期应付款(万元),--,--,259,1725,
专项应付款(万元),--,--,--,--,
预计非流动负债(万元),--,--,--,--,
长期递延收益(万元),--,--,--,--,
递延所得税负债(万元),74,--,--,26,
其他非流动负债(万元),--,--,--,--,
非流动负债合计(万元),4074,0,259,16591,
负债合计(万元),328032,282308,279877,298965,
实收资本(或股本)(万元),44910,44910,44910,44910,
资本公积(万元),5756,5881,5881,539,
减:库存股(万元),--,--,--,--,
专项储备(万元),1908,2074,2170,1676,
盈余公积(万元),2529,1505,278,30,
一般风险准备(万元),--,--,--,--,
未确定的投资损失(万元),--,--,--,--,
未分配利润(万元),22697,14748,6438,309,
拟分配现金股利(万元),--,--,--,--,
外币报表折算差额(万元),--,--,--,--,
归属于母公司股东权益合计(万元),77800,69118,59677,47464,
少数股东权益(万元),3830,1867,1793,1598,
所有者权益(或股东权益)合计(万元),81630,70985,61469,49062,
负债和所有者权益(或股东权益)总计(万元),409662,353293,341346,348027,		
  
