报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2000-12-31,1999-12-31,1998-12-31,
货币资金(万元),53870800,56830000,55332800,51118900,53848600,49647600,42816700,36639100,25632300,22400300,20693600,12336900,7465000,5701300,5425300,6114400,4083000,3948700,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
拆出资金(万元),17616000,17206900,16720800,11877600,6818000,12231400,15180300,15100400,4863300,5548900,1914300,1109000,519000,82400,366800,675000,398900,210400,
交易性金融资产(万元),30887200,6590400,6491100,2622000,2750900,1101800,1228500,819000,285500,444900,775500,650000,472500,481300,878400,--,--,--,
衍生金融资产(万元),3199100,6545100,4736600,1378800,822600,774900,416000,468300,447800,318200,535700,204900,45200,21100,30100,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应收账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,111500,558800,633200,
预付款项(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应收利息(万元),--,3264300,3292200,3051200,2612500,1554500,1304000,1005100,609500,413500,394100,335900,199600,165000,158700,371400,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
其他应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,80400,--,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
