报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),26288,25273,54420,25150,55106,56955,62374,6724,10285,411,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),790,--,--,--,--,--,0,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,
应收票据(万元),17723,20180,8931,7537,6538,5537,3324,2930,719,969,
应收账款(万元),75124,70592,56665,22127,14120,13459,9661,7594,6383,5731,
预付款项(万元),714,1069,542,541,205,221,182,1149,991,98,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,223,--,--,721,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),613,494,610,515,130,82,130,164,123,195,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
存货(万元),29085,30167,25821,15557,11203,8496,6130,5078,5255,3988,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),23648,23147,734,164,24,56,--,15,18,1020,
流动资产合计(万元),173986,170923,147945,71590,87327,85528,81802,23656,23775,12412,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),8848,7789,7139,4189,--,--,--,--,--,200,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),3068,2471,1428,--,--,--,--,--,--,2398,
固定资产原值(万元),84021,80209,75472,29564,14158,11433,9165,4860,3390,2946,
累计折旧(万元),24494,18646,13486,5209,4029,3110,2393,1925,1571,1381,
固定资产净值(万元),59526,61563,61986,24355,10129,8323,6772,2935,1819,1566,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,
固定资产(万元),59526,61563,61986,24355,10129,8323,6772,2935,1819,1566,
在建工程(万元),1242,587,1895,17974,11111,1817,852,3273,772,45,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,
无形资产(万元),15230,14929,16060,9414,5369,3914,3462,3518,831,327,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,
商誉(万元),22013,75436,71910,--,--,--,--,--,--,--,
长期待摊费用(万元),1787,1164,1117,109,36,50,44,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),3238,1547,1141,523,331,259,224,206,188,147,
其他非流动资产(万元),--,--,--,--,900,900,900,--,--,--,
非流动资产合计(万元),114953,165487,162675,56564,27875,15262,12255,9931,3610,4683,
资产总计(万元),288939,336409,310620,128154,115202,100790,94057,33587,27385,17095,
短期借款(万元),--,2550,2900,--,--,10,10,2140,2000,470,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,
