报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),3287,11922,3736,2465,2746,3430,2639,2018,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),941,178,29,26,--,--,--,40,
应收账款(万元),18582,14400,9786,8230,8077,9062,6641,6408,
预付款项(万元),231,436,101,607,722,524,537,304,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),386,711,2166,381,1010,1049,1406,1668,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),16590,13180,8959,7366,7482,6205,4901,4323,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),6855,343,127,127,23,52,501,--,
流动资产合计(万元),46871,41170,24904,19202,20060,20323,16625,14761,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),582,632,682,732,124,--,8,178,
固定资产原值(万元),40622,35103,30108,27929,17043,16329,13521,11564,
累计折旧(万元),15683,13063,11389,9638,8289,6723,5396,4238,
固定资产净值(万元),24939,22040,18719,18291,8754,9606,8125,7326,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),24939,22040,18719,18291,8754,9606,8125,7326,
在建工程(万元),11949,2017,759,--,6991,3521,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),8767,8948,5645,5726,6038,6183,1761,1733,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,
长期待摊费用(万元),658,299,127,164,172,220,179,128,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),683,226,179,154,159,120,95,121,
其他非流动资产(万元),995,375,981,269,--,--,--,--,
非流动资产合计(万元),48575,34536,27093,25337,22239,19649,10168,9485,
资产总计(万元),95446,75705,51997,44538,42299,39972,26793,24247,
短期借款(万元),22568,22970,6216,12412,8088,6200,7290,5450,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),13,--,--,1,71,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),4446,2552,1463,880,889,417,--,--,
应付账款(万元),10750,8623,6703,5553,5116,6625,4021,5482,
预收账款(万元),504,454,246,377,325,173,355,489,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1406,1412,1183,798,774,849,751,624,
应交税费(万元),671,499,227,358,360,403,188,603,
应付利息(万元),64,26,9,22,27,27,13,10,
应付股利(万元),--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),757,1001,458,64,168,361,38,1033,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),659,--,--,--,1950,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,
流动负债合计(万元),41838,37536,16506,20465,17769,15056,12654,13691,
长期借款(万元),869,--,--,2886,5476,8031,--,--,
应付债券(万元),10690,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,
长期递延收益(万元),1446,271,198,168,144,83,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,94,19,
非流动负债合计(万元),13005,271,198,3054,5620,8114,94,19,
负债合计(万元),54843,37807,16705,23519,23389,23170,12748,13710,
实收资本(或股本)(万元),20900,20900,9500,7125,7125,7125,7125,1888,
资本公积(万元),1255,1255,12449,3942,3942,3942,3942,616,
减:库存股(万元),--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,
盈余公积(万元),1469,1389,1168,795,527,332,56,1015,
一般风险准备(万元),--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,
未分配利润(万元),14468,14185,12133,8753,6864,4860,2248,6344,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,-0,-0,
归属于母公司股东权益合计(万元),40453,37733,35260,20618,18456,16257,13371,9862,
少数股东权益(万元),150,165,32,401,453,545,674,675,
所有者权益(或股东权益)合计(万元),40604,37898,35292,21019,18910,16802,14045,10537,
负债和所有者权益(或股东权益)总计(万元),95446,75705,51997,44538,42299,39972,26793,24247,		
  
