报告日期,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),157084,185306,311688,
结算备付金(万元),--,--,0,
拆出资金(万元),--,--,0,
交易性金融资产(万元),--,0,--,
衍生金融资产(万元),--,--,--,
应收票据(万元),352211,544693,365503,
应收账款(万元),3905,40372,11496,
预付款项(万元),85193,137726,46079,
应收保费(万元),--,--,0,
应收分保账款(万元),--,--,0,
应收分保合同准备金(万元),--,--,0,
应收利息(万元),--,0,--,
应收股利(万元),--,0,--,
其他应收款(万元),2888,1329,1902,
应收出口退税(万元), --,--,0,
应收补贴款(万元),--,--,0,
应收保证金(万元),--,--,--,
内部应收款(万元),--,--,--,
买入返售金融资产(万元),--,--,0,
存货(万元),789725,483588,388115,
待摊费用(万元),--,--,0,
待处理流动资产损益(万元),--,--,--,
一年内到期的非流动资产(万元),--,0,--,
其他流动资产(万元),--,0,0,
流动资产合计(万元),1391007,1393014,1124784,
发放贷款及垫款(万元),--,--,0,
可供出售金融资产(万元),0,0,--,
持有至到期投资(万元),--,0,--,
长期应收款(万元),--,0,--,
长期股权投资(万元),21848,21900,34253,
其他长期投资(万元),--,--,--,
投资性房地产(万元),--,0,--,
固定资产原值(万元),1888113,1839097,1786850,
累计折旧(万元),953202,844619,767082,
固定资产净值(万元),934911,994479,1019767,
固定资产减值准备(万元),15205,15251,16672,
固定资产(万元),919706,979228,1003095,
在建工程(万元),327990,154041,204047,
工程物资(万元),--,0,--,
固定资产清理(万元),--,0,389,
生产性生物资产(万元),--,0,--,
公益性生物资产(万元),--,--,--,
油气资产(万元),--,0,--,
无形资产(万元),--,0,--,
开发支出(万元),--,0,--,
商誉(万元),--,0,--,
长期待摊费用(万元),--,0,--,
股权分置流通权(万元),--,--,--,
递延所得税资产(万元),15035,14161,27247,
其他非流动资产(万元),--,0,--,
非流动资产合计(万元),1284579,1169330,1269031,
资产总计(万元),2675586,2562344,2393815,
短期借款(万元),140000,35000,30000,
向中央银行借款(万元),--,--,0,
吸收存款及同业存放(万元),--,--,0,
拆入资金(万元),--,--,0,
交易性金融负债(万元),0,0,--,
衍生金融负债(万元),--,--,--,
应付票据(万元),327152,270037,237825,
应付账款(万元),394753,269819,203132,
预收账款(万元),259037,335023,299613,
卖出回购金融资产款(万元),--,--,0,
应付手续费及佣金(万元),--,--,0,
应付职工薪酬(万元),22307,43503,47195,
应交税费(万元),-20560,-16504,-463,
应付利息(万元),--,2692,1346,
应付股利(万元),--,0,--,
其他应交款(万元),--,--,0,
应付保证金(万元),--,--,--,
内部应付款(万元),--,--,--,
其他应付款(万元),25345,29541,18827,
预提费用(万元),--,--,0,
预计流动负债(万元),--,--,0,
应付分保账款(万元),--,--,0,
保险合同准备金(万元),--,--,0,
代理买卖证券款(万元),--,--,0,
代理承销证券款(万元),--,--,0,
国际票证结算(万元),--,--,--,
国内票证结算(万元),--,--,--,
递延收益(万元),--,--,0,
应付短期债券(万元),--,--,0,
一年内到期的非流动负债(万元),59600,70699,23701,
其他流动负债(万元),--,0,--,
流动负债合计(万元),1207635,1039810,861177,
长期借款(万元),246552,318814,396694,
应付债券(万元),--,0,8696,
长期应付款(万元),--,0,--,
专项应付款(万元),--,0,--,
预计非流动负债(万元),--,--,0,
长期递延收益(万元),--,--,--,
递延所得税负债(万元),--,0,--,
其他非流动负债(万元),--,0,--,
非流动负债合计(万元),246552,318814,405389,
负债合计(万元),1454187,1358624,1266566,
实收资本(或股本)(万元),281646,281646,279144,
资本公积(万元),467135,467135,461188,
减:库存股(万元),--,0,--,
专项储备(万元),--,--,--,
盈余公积(万元),210623,198637,179400,
一般风险准备(万元),--,--,0,
未确定的投资损失(万元),--,--,0,
未分配利润(万元),261996,256302,207517,
拟分配现金股利(万元),--,--,0,
外币报表折算差额(万元),--,--,0,
归属于母公司股东权益合计(万元),1221399,1203719,1127249,
少数股东权益(万元),--,0,--,
所有者权益(或股东权益)合计(万元),1221399,1203719,1127249,
负债和所有者权益(或股东权益)总计(万元),2675586,2562344,2393815,		
  
