报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),41503,108572,95928,68994,66144,99365,79435,95325,171526,24784,16219,10439,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,0,108,91,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,
应收票据(万元),283,943,126,208,7223,6512,3691,4957,100,0,20,120,
应收账款(万元),73824,59872,54032,43606,33891,33529,27190,20343,23551,22124,26656,16623,
预付款项(万元),5292,4695,4721,1759,2648,1910,7030,10487,4516,1779,4188,3495,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他应收款(万元),888,819,706,770,758,747,485,651,1824,897,1873,3996,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,
存货(万元),85756,54694,42119,72879,63096,60201,57861,50911,41193,26673,27948,22451,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,--,--,
一年内到期的非流动资产(万元),--,--,2,--,--,--,--,--,--,0,0,0,
其他流动资产(万元),8141,71823,9771,15310,23879,14451,7735,--,--,0,0,0,
流动资产合计(万元),215687,301417,207404,203527,197638,216716,183428,182674,242710,76257,77011,57214,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,--,--,
