报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),249313,310158,238624,168778,94558,74609,48387,34024,20494,18622,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,
应收票据(万元),15667,393,183,227,949,--,633,270,195,67,
应收账款(万元),25877,16681,6542,8522,9108,7612,7357,6680,5993,5087,
预付款项(万元),2664,1391,695,1744,3157,1214,2048,2444,2302,8947,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,14,7,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),895,189,855,2521,637,218,183,630,903,3069,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
存货(万元),25407,17390,14717,11328,10458,8023,8538,6792,4445,3438,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),21458,171,26000,21000,--,--,--,--,--,--,
流动资产合计(万元),341283,346374,287617,214120,118867,91675,67159,50848,34330,39230,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,2480,--,--,
长期应收款(万元),--,--,--,--,5219,7005,--,--,--,--,
长期股权投资(万元),950,--,--,--,--,--,9492,13146,17400,13431,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),86688,81444,78549,75615,73721,71670,--,--,--,--,
