报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),30461,39719,65408,80025,22274,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),387,--,--,--,465,
应收账款(万元),35925,--,--,--,19611,
预付款项(万元),3969,3757,3073,2932,6128,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,--,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),3855,--,--,--,33435,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),28570,27294,24869,23848,31647,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,10000,--,--,--,
其他流动资产(万元),1443,8211,3830,88,50,
流动资产合计(万元),104610,123869,135130,156215,113610,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),40,40,60,1060,4739,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,10000,10000,--,
长期股权投资(万元),38559,36031,34023,3504,--,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),1537,1777,2034,--,--,
固定资产原值(万元),313398,283392,251634,223671,--,
累计折旧(万元),106120,90290,76800,72137,--,
固定资产净值(万元),207278,193102,174834,151534,--,
固定资产减值准备(万元),8183,7973,8178,9518,--,
固定资产(万元),199095,185128,166656,142016,105996,
在建工程(万元),6633,15929,26632,21538,11330,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),32821,33095,31554,29595,24685,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),22370,23524,20390,19146,10370,
开发支出(万元),--,--,--,--,--,
商誉(万元),11319,11319,12039,11869,1392,
长期待摊费用(万元),2029,2130,1253,944,1005,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),1766,1827,2321,2697,4743,
其他非流动资产(万元),3316,3439,3576,9228,13457,
非流动资产合计(万元),319485,314239,310536,251598,177718,
资产总计(万元),424095,438108,445666,407813,291329,
短期借款(万元),107100,119546,142999,138033,115080,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),--,--,--,--,2000,
应付账款(万元),40350,--,--,--,32494,
预收账款(万元),10905,10842,10412,10219,9730,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),9620,9838,8931,8544,5982,
应交税费(万元),2195,2162,2740,1747,2398,
应付利息(万元),371,--,--,--,908,
应付股利(万元),356,--,--,--,--,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),36342,--,--,--,65646,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),21840,35214,2713,3656,--,
其他流动负债(万元),--,--,--,--,--,
流动负债合计(万元),229078,264678,279059,257783,234238,
长期借款(万元),23490,26035,42000,--,3000,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),4800,5700,5845,841,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,
长期递延收益(万元),11930,10085,11152,10178,7028,
递延所得税负债(万元),576,635,680,733,--,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),40795,42454,59677,11752,10028,
负债合计(万元),269873,307133,338737,269535,244266,
实收资本(或股本)(万元),76834,76834,72813,98000,48000,
资本公积(万元),21856,22916,20372,2236,4176,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),2209,2209,179,--,--,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),45021,20747,553,20374,-9866,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),145919,122706,93917,120610,42425,
少数股东权益(万元),8303,8269,13012,17668,4638,
所有者权益(或股东权益)合计(万元),154222,130976,106929,138278,47063,
负债和所有者权益(或股东权益)总计(万元),424095,438108,445666,407813,291329,		
  
