报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),635,765,10917,11272,6818,15135,34650,42002,51212,65342,2897,2991,1532,
结算备付金(万元),--,--,0,0,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,0,0,0,--,--,--,--,0,0,0,0,
交易性金融资产(万元),--,--,0,0,0,--,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,0,0,0,--,--,--,--,0,0,0,0,
应收票据(万元),31,291,30,1105,8276,5999,3238,4277,1922,1434,920,491,1949,
应收账款(万元),99208,97763,70426,18220,39115,34155,23884,17810,15634,12131,8909,8188,6464,
预付款项(万元),7058,14504,1274,1456,1110,494,909,2332,5622,167,644,64,278,
应收保费(万元),--,--,0,0,0,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,0,0,0,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,0,0,0,--,--,--,--,0,0,0,0,
应收利息(万元),--,--,0,0,204,255,--,--,874,83,0,0,0,
应收股利(万元),--,--,0,0,0,--,--,--,--,0,0,0,0,
其他应收款(万元),5018,14869,5428,1656,1145,1774,2029,1504,1303,594,515,545,4798,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
买入返售金融资产(万元),--,--,0,0,0,--,--,--,--,0,0,0,0,
存货(万元),39039,107183,98509,56314,4848,8582,6213,4728,3427,2954,3273,1643,926,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动资产(万元),--,--,0,0,--,--,--,--,--,0,0,0,0,
其他流动资产(万元),3929,3897,0,0,4000,--,--,--,--,0,0,0,0,
流动资产合计(万元),154918,239272,186584,90023,65517,66394,70924,72653,79994,82705,17158,13921,15947,
发放贷款及垫款(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
可供出售金融资产(万元),--,2100,2100,2100,2100,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,0,--,0,--,--,--,--,0,0,0,0,
长期应收款(万元),--,--,0,--,0,--,--,--,--,0,0,0,0,
长期股权投资(万元),--,--,0,--,0,2100,2100,2100,--,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
投资性房地产(万元),--,--,0,--,0,--,--,--,--,0,0,0,0,
固定资产原值(万元),4636,4418,1158,2346,31588,30993,19335,11046,5466,2302,2193,0,0,
累计折旧(万元),2683,2282,1880,1158,6975,4965,2231,1336,891,652,493,0,0,
固定资产净值(万元),1953,2135,-722,1188,24613,26028,17104,9709,4575,1650,1700,0,0,
固定资产减值准备(万元),--,--,--,--,23,23,23,23,23,23,23,0,0,
固定资产(万元),1953,2135,2291,1188,24590,26004,17081,9686,4552,1627,1677,1639,1344,
在建工程(万元),--,--,119,--,35,59,4233,7589,2505,1344,151,0,0,
工程物资(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
固定资产清理(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
生产性生物资产(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
油气资产(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
无形资产(万元),5870,5973,6076,54,3049,3190,1878,1917,1958,1999,1775,109,112,
开发支出(万元),--,--,0,--,0,--,--,--,--,0,0,0,0,
商誉(万元),1282,14238,14238,--,1695,1695,--,--,--,0,0,0,0,
长期待摊费用(万元),197,463,466,567,0,--,--,--,--,0,0,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
递延所得税资产(万元),213,1458,748,217,600,440,270,157,109,125,76,71,82,
其他非流动资产(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
非流动资产合计(万元),9515,26367,26038,4125,32069,33489,25561,21449,9123,5095,3677,1820,1537,
资产总计(万元),164433,265639,212621,94148,97585,99883,96485,94102,89117,87799,20836,15741,17484,
短期借款(万元),51518,58500,20560,--,2000,2000,--,--,--,0,0,2000,3770,
向中央银行借款(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
吸收存款及同业存放(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
拆入资金(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
交易性金融负债(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
衍生金融负债(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
应付票据(万元),--,1147,5125,7029,2331,2069,2009,986,--,0,200,0,0,
应付账款(万元),34193,53809,69561,19426,4782,5957,3906,2778,2243,1691,2612,1853,2370,
预收账款(万元),464,393,642,444,589,751,661,819,794,701,510,65,721,
卖出回购金融资产款(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
应付手续费及佣金(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
应付职工薪酬(万元),1463,892,710,398,323,330,303,385,256,245,257,216,775,
应交税费(万元),4816,5732,3259,2272,661,673,950,762,248,671,293,458,356,
应付利息(万元),2149,--,0,--,--,--,--,--,--,0,0,0,0,
应付股利(万元),4558,1948,52,--,--,--,--,--,--,0,0,0,575,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应付款(万元),7940,41974,30767,3577,522,1362,1546,1354,1300,812,369,373,1214,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应付分保账款(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
保险合同准备金(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
代理买卖证券款(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
代理承销证券款(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动负债(万元),15400,10500,0,--,--,--,--,--,--,0,0,0,0,
其他流动负债(万元),--,--,0,--,4,--,--,--,--,0,0,0,0,
流动负债合计(万元),122500,174895,130675,33147,11212,13142,9375,7084,4841,4119,4240,4965,9781,
长期借款(万元),--,5000,0,--,--,--,--,--,--,0,0,0,0,
应付债券(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
长期应付款(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
专项应付款(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
预计非流动负债(万元),4797,--,0,--,--,--,--,--,--,0,0,0,0,
长期递延收益(万元),--,--,0,--,1083,--,--,--,--,0,--,--,--,
递延所得税负债(万元),146,167,187,--,--,--,--,--,--,0,0,0,0,
其他非流动负债(万元),--,--,0,--,--,1092,1096,200,204,0,0,0,0,
非流动负债合计(万元),4943,5167,187,0,1083,1092,1096,200,204,0,0,0,0,
负债合计(万元),127443,180062,130862,33147,12295,14234,10471,7284,5046,4119,4240,4965,9781,
实收资本(或股本)(万元),12017,12017,12017,12017,10759,10759,8276,8276,8276,8276,6176,6176,2500,
资本公积(万元),9061,9061,9061,9061,55958,55958,58441,58441,58441,58441,1,1,103,
减:库存股(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
专项储备(万元),--,--,196,877,--,--,--,--,--,0,0,0,0,
盈余公积(万元),6987,6987,5852,3657,3575,3423,3171,2755,2232,1696,1042,460,810,
