报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),10069,94385,6570,41317,17868,29201,23507,45232,137228,18521,13113,1370,
结算备付金(万元),--,--,--,--,--,--,0,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,0,--,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,0,--,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),97,358,169,4,327,175,15,--,--,0,0,24,
应收账款(万元),28028,32804,32488,44099,49824,48787,29911,12754,7753,6045,7957,5386,
预付款项(万元),13426,7120,1545,2769,4000,13541,30013,58717,7591,7792,4521,4793,
应收保费(万元),--,--,--,--,--,--,0,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,0,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,0,--,--,0,0,0,
应收利息(万元),--,--,--,--,--,--,0,--,--,0,0,0,
应收股利(万元),--,--,--,--,--,--,0,--,--,0,0,0,
其他应收款(万元),4422,3325,1761,1240,4328,4576,941,737,714,572,485,402,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,0,--,--,0,0,0,
存货(万元),20781,10942,36195,31144,35370,37509,40247,31181,25309,22297,29597,30843,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,0,--,--,0,0,0,
其他流动资产(万元),3201,16,16668,182,253,--,0,--,--,0,0,0,
流动资产合计(万元),80024,148951,95397,120755,111970,133788,124634,148621,178595,55227,55673,42818,
发放贷款及垫款(万元),--,--,--,--,--,--,0,--,--,0,0,0,
可供出售金融资产(万元),--,--,--,--,--,--,0,--,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,0,--,--,0,0,0,
长期应收款(万元),--,--,--,--,--,--,0,--,--,0,0,0,
长期股权投资(万元),--,--,--,--,--,--,0,--,--,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
投资性房地产(万元),148064,62231,48197,26501,7171,--,0,--,--,0,0,0,
固定资产原值(万元),37303,22952,114374,112787,140199,139633,116320,78260,47362,40626,0,0,
累计折旧(万元),7870,7120,29507,27649,25198,22158,17220,13129,9093,5717,0,0,
固定资产净值(万元),29432,15832,84867,85137,115001,117475,99100,65132,38269,34909,0,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,0,0,0,
固定资产(万元),29432,15832,84867,85137,115001,117475,99100,65132,38269,34909,26848,20598,
在建工程(万元),12381,--,--,22363,15618,10042,14735,15,7422,0,0,2539,
工程物资(万元),--,--,--,--,--,--,0,--,--,0,0,0,
固定资产清理(万元),--,--,--,2553,--,--,0,--,--,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,0,--,--,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
油气资产(万元),--,--,--,--,--,--,0,--,--,0,0,0,
