报告日期,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),120293500,141196200,131027300,
结算备付金(万元),--,--,--,
拆出资金(万元),28562200,31599900,19328700,
交易性金融资产(万元),34166200,11999200,6897600,
衍生金融资产(万元),716600,658400,617900,
应收票据(万元),--,--,--,
应收账款(万元),--,--,--,
预付款项(万元),--,--,--,
应收保费(万元),--,--,--,
应收分保账款(万元),--,--,--,
应收分保合同准备金(万元),--,--,--,
应收利息(万元),--,--,--,
应收股利(万元),--,--,--,
其他应收款(万元),--,--,--,
应收出口退税(万元), --,--,--,
应收补贴款(万元),--,--,--,
应收保证金(万元),--,--,--,
内部应收款(万元),--,--,--,
买入返售金融资产(万元),23968700,14197400,7313100,
存货(万元),--,--,--,
待摊费用(万元),--,--,--,
待处理流动资产损益(万元),--,--,--,
一年内到期的非流动资产(万元),--,--,--,
其他流动资产(万元),--,--,--,
流动资产合计(万元),--,--,--,
发放贷款及垫款(万元),414953800,354157100,293921700,
可供出售金融资产(万元),--,68674800,116018700,
持有至到期投资(万元),--,93573500,73615400,
长期应收款(万元),--,--,--,
长期股权投资(万元),--,--,--,
其他长期投资(万元),--,--,--,
投资性房地产(万元),--,--,--,
固定资产原值(万元),--,--,--,
累计折旧(万元),--,--,--,
固定资产净值(万元),--,--,--,
固定资产减值准备(万元),--,--,--,
固定资产(万元),4539900,4380400,3928200,
在建工程(万元),--,--,--,
工程物资(万元),--,--,--,
固定资产清理(万元),--,--,--,
生产性生物资产(万元),--,--,--,
公益性生物资产(万元),--,--,--,
油气资产(万元),--,--,--,
无形资产(万元),--,--,--,
开发支出(万元),--,--,--,
商誉(万元),--,--,--,
长期待摊费用(万元),--,--,--,
股权分置流通权(万元),--,--,--,
递延所得税资产(万元),3588700,2225800,1346500,
其他非流动资产(万元),2213900,6460800,5117100,
非流动资产合计(万元),--,--,--,
资产总计(万元),951621100,901255100,826562200,
短期借款(万元),--,--,--,
向中央银行借款(万元),--,--,--,
吸收存款及同业存放(万元),870160500,811111300,756799800,
拆入资金(万元),3984500,7361700,1415800,
交易性金融负债(万元),236000,4219300,1062300,
衍生金融负债(万元),646300,661600,640400,
应付票据(万元),--,--,--,
应付账款(万元),--,--,--,
预收账款(万元),--,--,--,
卖出回购金融资产款(万元),13491900,11514300,12978900,
应付手续费及佣金(万元),--,--,--,
应付职工薪酬(万元),--,--,--,
应交税费(万元),--,--,--,
应付利息(万元),--,--,--,
应付股利(万元),--,--,--,
其他应交款(万元),--,--,--,
应付保证金(万元),--,--,--,
内部应付款(万元),--,--,--,
其他应付款(万元),--,--,--,
预提费用(万元),--,--,--,
预计流动负债(万元),--,--,--,
应付分保账款(万元),--,--,--,
保险合同准备金(万元),--,--,--,
代理买卖证券款(万元),--,--,--,
代理承销证券款(万元),--,--,--,
国际票证结算(万元),--,--,--,
国内票证结算(万元),--,--,--,
递延收益(万元),--,--,--,
应付短期债券(万元),--,--,--,
一年内到期的非流动负债(万元),--,--,--,
其他流动负债(万元),--,--,--,
流动负债合计(万元),--,--,--,
长期借款(万元),--,--,--,
应付债券(万元),7615400,7493200,5494300,
长期应付款(万元),--,--,--,
专项应付款(万元),--,--,--,
预计非流动负债(万元),--,--,--,
长期递延收益(万元),--,--,--,
递延所得税负债(万元),--,--,--,
其他非流动负债(万元),7955200,15758000,13481900,
非流动负债合计(万元),--,--,--,
负债合计(万元),904089800,858119400,791873400,
实收资本(或股本)(万元),8103100,8103100,8103100,
资本公积(万元),7464800,7465900,7458600,
减:库存股(万元),--,--,--,
专项储备(万元),--,--,--,
盈余公积(万元),--,--,--,
一般风险准备(万元),--,--,--,
未确定的投资损失(万元),--,--,--,
未分配利润(万元),13293300,10631100,7657200,
拟分配现金股利(万元),--,--,--,
外币报表折算差额(万元),--,--,--,
归属于母公司股东权益合计(万元),47440400,43097300,34653000,
少数股东权益(万元),90900,38400,35800,
所有者权益(或股东权益)合计(万元),47531300,43135700,34688800,
负债和所有者权益(或股东权益)总计(万元),951621100,901255100,826562200,		
  
