报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),3622,761,3044,198,
结算备付金(万元),--,--,--,--,
拆出资金(万元),--,--,--,--,
交易性金融资产(万元),--,--,--,--,
衍生金融资产(万元),--,--,--,--,
应收票据(万元),4741,3770,5938,242,
应收账款(万元),25381,16256,10798,8088,
预付款项(万元),132,384,519,14,
应收保费(万元),--,--,--,--,
应收分保账款(万元),--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,
应收利息(万元),--,--,--,--,
应收股利(万元),--,--,--,--,
其他应收款(万元),1237,1144,839,575,
应收出口退税(万元), --,--,--,--,
应收补贴款(万元),--,--,--,--,
应收保证金(万元),--,--,--,--,
内部应收款(万元),--,--,--,--,
买入返售金融资产(万元),--,--,--,--,
存货(万元),25764,23624,14176,11449,
待摊费用(万元),--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,
其他流动资产(万元),1950,2761,892,1254,
流动资产合计(万元),62826,48700,36205,21820,
发放贷款及垫款(万元),--,--,--,--,
可供出售金融资产(万元),--,--,--,--,
持有至到期投资(万元),--,--,--,--,
长期应收款(万元),1807,--,--,--,
长期股权投资(万元),--,--,--,--,
其他长期投资(万元),--,--,--,--,
投资性房地产(万元),2860,963,--,--,
固定资产原值(万元),51133,--,--,--,
累计折旧(万元),7955,--,--,--,
固定资产净值(万元),43178,--,--,--,
固定资产减值准备(万元),--,--,--,--,
固定资产(万元),43178,29183,13592,7268,
在建工程(万元),10366,10834,599,--,
工程物资(万元),--,--,--,--,
固定资产清理(万元),--,--,--,--,
生产性生物资产(万元),--,--,--,--,
公益性生物资产(万元),--,--,--,--,
油气资产(万元),--,--,--,--,
无形资产(万元),2804,2723,411,448,
开发支出(万元),--,--,--,--,
商誉(万元),--,--,--,--,
长期待摊费用(万元),4796,3054,2032,1310,
股权分置流通权(万元),--,--,--,--,
递延所得税资产(万元),191,736,113,58,
其他非流动资产(万元),184,2509,334,97,
非流动资产合计(万元),66186,50002,17081,9181,
资产总计(万元),129012,98702,53286,31001,
短期借款(万元),7500,4500,--,197,
向中央银行借款(万元),--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,
拆入资金(万元),--,--,--,--,
交易性金融负债(万元),--,--,--,--,
衍生金融负债(万元),--,--,--,--,
应付票据(万元),5217,5328,3544,--,
应付账款(万元),25893,27937,13168,10812,
预收账款(万元),27,83,33,123,
卖出回购金融资产款(万元),--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,
应付职工薪酬(万元),1998,1724,1060,1207,
应交税费(万元),1427,1681,1012,896,
应付利息(万元),--,--,--,--,
应付股利(万元),--,--,--,--,
其他应交款(万元),--,--,--,--,
应付保证金(万元),--,--,--,--,
内部应付款(万元),--,--,--,--,
其他应付款(万元),83,21,10000,2,
预提费用(万元),--,--,--,--,
预计流动负债(万元),--,--,--,--,
应付分保账款(万元),--,--,--,--,
保险合同准备金(万元),--,--,--,--,
代理买卖证券款(万元),--,--,--,--,
代理承销证券款(万元),--,--,--,--,
国际票证结算(万元),--,--,--,--,
国内票证结算(万元),--,--,--,--,
递延收益(万元),--,--,--,--,
应付短期债券(万元),--,--,--,--,
一年内到期的非流动负债(万元),5812,1364,429,--,
其他流动负债(万元),--,--,--,--,
流动负债合计(万元),47957,42639,29247,13237,
长期借款(万元),9818,--,--,--,
应付债券(万元),--,--,--,--,
长期应付款(万元),6332,1734,540,--,
专项应付款(万元),--,--,--,--,
预计非流动负债(万元),--,--,--,--,
长期递延收益(万元),3481,2713,148,39,
递延所得税负债(万元),--,--,--,--,
其他非流动负债(万元),--,--,--,--,
非流动负债合计(万元),19631,4446,688,39,
负债合计(万元),67588,47085,29934,13276,
实收资本(或股本)(万元),8571,8571,7018,6818,
资本公积(万元),29752,28528,8725,8375,
减:库存股(万元),--,--,--,--,
专项储备(万元),--,--,--,--,
盈余公积(万元),2334,1521,777,135,
一般风险准备(万元),--,--,--,--,
未确定的投资损失(万元),--,--,--,--,
未分配利润(万元),20768,12997,6831,1229,
拟分配现金股利(万元),--,--,--,--,
外币报表折算差额(万元),--,--,--,--,
归属于母公司股东权益合计(万元),61424,51617,23352,16557,
少数股东权益(万元),--,--,--,1168,
所有者权益(或股东权益)合计(万元),61424,51617,23352,17725,
负债和所有者权益(或股东权益)总计(万元),129012,98702,53286,31001,		
  
