报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),33670,37851,56619,36737,47813,42139,49103,61646,88717,6577,4599,4838,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,11,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),11928,8039,9280,6597,10679,10401,7399,2397,1329,72,57,0,
应收账款(万元),53315,74643,78077,65974,81641,59492,65935,35616,24988,12498,7921,7152,
预付款项(万元),12073,23022,13437,8129,4732,5924,1923,4325,1797,868,203,490,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收利息(万元),217,61,70,109,171,63,19,778,69,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他应收款(万元),9570,12569,5742,2867,1182,4709,1298,2064,370,220,227,370,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
存货(万元),26555,39751,34238,26112,30678,25869,28384,15256,9440,5102,3553,2777,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),7709,329,--,--,--,--,--,--,--,0,0,0,
其他流动资产(万元),3965,4792,3059,2338,2977,18,42,0,--,70,23,39,
流动资产合计(万元),159003,201057,200520,148862,179872,148615,154102,122094,126710,25406,16583,15666,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
可供出售金融资产(万元),6361,8767,3420,3444,45,--,--,--,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
长期应收款(万元),7115,2578,--,--,--,--,--,--,--,0,0,0,
长期股权投资(万元),15817,18975,4230,3850,3848,3488,4576,3833,2000,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
固定资产原值(万元),117658,101720,109446,106811,106690,37438,33111,25324,9314,6356,2871,1782,
累计折旧(万元),46306,44739,45039,39860,34058,7797,5399,2841,1418,753,490,223,
固定资产净值(万元),71352,56981,64407,66951,72632,29641,27712,22483,7896,5604,2381,1559,
固定资产减值准备(万元),26363,11135,11551,11119,13135,--,--,--,--,0,0,0,
固定资产(万元),44989,45847,52856,55832,59498,29641,27712,22483,7896,5604,2381,1559,
在建工程(万元),8551,26669,1939,2575,4073,672,666,754,1361,0,0,0,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
无形资产(万元),6485,6625,7494,7349,7407,4344,4907,4583,1494,1535,935,0,
开发支出(万元),--,--,--,--,--,--,--,--,--,0,0,0,
商誉(万元),31008,66716,66403,94579,121877,381,1090,709,--,0,0,0,
长期待摊费用(万元),990,1484,2006,2899,2126,2666,3243,3643,808,545,554,368,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,0,
递延所得税资产(万元),20256,13233,12715,12073,11420,2468,1253,509,151,107,97,60,
其他非流动资产(万元),1352,--,--,--,--,--,--,--,--,0,0,0,
非流动资产合计(万元),142924,190894,151063,182598,210292,43660,43446,36513,13711,7790,3967,1987,
资产总计(万元),301927,391951,351583,331460,390164,192274,197549,158607,140421,33196,20550,17653,
短期借款(万元),91883,55813,51567,29958,39345,16095,9022,10715,13725,1877,0,0,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付票据(万元),19102,23599,20267,6527,7500,--,--,--,--,0,0,0,
应付账款(万元),42610,67685,62187,54838,56321,32448,44733,21153,9562,7244,3188,4241,
预收账款(万元),2717,6149,442,1742,617,392,881,627,154,170,245,58,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付职工薪酬(万元),3941,2342,3254,3212,4001,1276,2058,1299,980,564,155,345,
应交税费(万元),944,3498,2503,3052,3845,-88,1115,363,527,402,17,161,
应付利息(万元),232,174,206,208,159,18,58,38,27,5,0,0,
应付股利(万元),--,57,--,--,--,--,--,--,--,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他应付款(万元),3627,2725,1788,1146,26470,1768,436,617,41,58,99,375,
