报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),84017100,93857100,99143500,92022800,93805500,89655600,81684600,73699900,58655400,43499600,36218000,25969800,25319100,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
拆出资金(万元),56477800,57076600,46779100,35681200,17231800,19705700,15378700,14872600,7961000,4329700,8953900,4794600,5117000,
交易性金融资产(万元),37638600,22703000,17922100,13899900,10570200,5908300,4568300,4283700,4131200,2688400,2228000,1700300,1260200,
衍生金融资产(万元),3073000,3400700,3722300,3431000,1065600,1422700,647800,558500,473100,237000,465600,233700,39200,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
应收账款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
应收利息(万元),--,5456100,4780300,4153300,3479000,2980900,2422500,1977300,1514900,1288700,1153500,925600,610400,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
其他应收款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
买入返售金融资产(万元),11964300,6727700,6804300,7629200,17845400,27195700,19485400,19790900,14614300,11133700,12623300,7296100,3128800,
存货(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
流动资产合计(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
发放贷款及垫款(万元),474237200,435449900,400904600,363456800,335478700,319306300,287962800,250538500,219049000,180153800,129877600,108275800,90908300,
可供出售金融资产(万元),--,40213800,34275500,26473900,21001600,22039700,20375200,18333600,16153400,13156800,14148400,14598400,33612900,
持有至到期投资(万元),200050500,151137500,140744900,93368300,63557000,67061500,59861500,54476100,56372100,50917900,36787800,32695300,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
长期股权投资(万元),365300,335700,71400,57700,54700,120000,115800,105400,63600,52600,52600,47000,176700,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
投资性房地产(万元),789900,821700,876200,563400,727600,19400,18200,19600,14100,12400,10900,13600,14200,
固定资产原值(万元),20480300,17418800,14731400,11257500,8496500,6842700,5937900,4921400,4269800,3852500,3587900,3347700,3301900,
累计折旧(万元),5379100,4588200,3998800,3423100,2873800,2450900,2155700,1905800,1686300,1479700,1313500,1209700,1237400,
固定资产净值(万元),15101200,12830600,10732600,7834400,5622700,4391800,3782200,3015600,2583500,2372800,2274400,2138000,2064500,
固定资产减值准备(万元),11700,8400,500,200,--,--,--,--,--,--,--,300,500,
固定资产(万元),15089500,12822200,10732100,7834200,5622700,4391800,3782200,3015600,2583500,2372800,2274400,2137700,2152900,
在建工程(万元),239100,427000,710400,1205100,1354000,1326100,771400,686100,807600,615000,565200,399100,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
