报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),53101,39080,11734,9681,16861,29042,75513,19694,40043,4069,2506,1793,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),44247,34908,17730,12890,10668,12130,11507,15890,7956,2151,1818,847,
应收账款(万元),146658,101861,39221,29579,22203,12080,5407,5121,3020,3447,3400,3410,
预付款项(万元),7173,5176,1764,1437,1190,483,242,6817,6224,24,2,234,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收利息(万元),--,--,--,--,188,463,1396,--,356,0,0,0,
应收股利(万元),0,--,--,--,--,--,--,--,--,0,0,0,
其他应收款(万元),3639,1667,896,950,1679,1268,122,1478,49,11,44,4,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
存货(万元),50193,44278,22663,20638,14132,8821,7761,7596,3117,2337,2827,4328,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,81,--,--,--,--,--,0,0,0,
其他流动资产(万元),20953,45993,43954,60423,12831,21834,3488,--,--,0,0,0,
流动资产合计(万元),326413,272963,137963,135680,79753,86123,105436,56595,60765,12039,10597,10616,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
长期股权投资(万元),1193,1741,1636,818,884,1135,1325,667,--,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
投资性房地产(万元),15597,3649,1187,102,107,112,84,38,41,43,62,65,
固定资产原值(万元),272816,234127,154948,142725,95237,70021,48618,43040,26970,25655,25590,0,
累计折旧(万元),84586,67795,49137,38949,32295,25397,20976,17092,14090,11923,9718,0,
固定资产净值(万元),188231,166332,105811,103776,62941,44623,27643,25948,12880,13733,15872,0,
固定资产减值准备(万元),86,86,86,1,1,14,15,16,16,17,17,0,
固定资产(万元),188144,166246,105725,103775,62940,44609,27628,25932,12864,13715,15855,16598,
在建工程(万元),49969,83932,74223,49223,71243,25100,26957,11616,6368,838,18,18,
工程物资(万元),127,128,127,127,127,--,--,--,--,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
