报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),850072,120496,11735,34419,15214,41196,46609,60892,87269,20829,11559,7490,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),2495,--,--,26,--,--,--,--,--,0,0,25,
应收账款(万元),13165,--,--,991,4688,1466,915,399,597,468,562,1494,
预付款项(万元),4842,649,--,984,8880,8199,7778,9828,6456,2168,2093,4670,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收利息(万元),499,--,--,--,--,--,48,--,--,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他应收款(万元),60941,9815,14702,308,1956,2541,278,196,23,251,186,61,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
存货(万元),45903,73,--,4757,13163,15525,17353,13177,7814,4946,5896,6585,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他流动资产(万元),35912,267,626,2393,3535,2636,1921,--,--,0,0,0,
流动资产合计(万元),1013829,131299,27064,43878,47438,71563,74903,84491,102159,28661,20296,20325,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
长期股权投资(万元),9959,--,--,2015,--,--,--,--,--,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
投资性房地产(万元),--,10546,--,--,--,--,--,--,--,0,0,0,
固定资产原值(万元),587168,4132,14146,45739,81067,82410,62823,45905,26371,23234,21532,0,
累计折旧(万元),84944,435,1292,9210,13107,13547,9871,6932,5612,4059,2546,0,
固定资产净值(万元),502224,3697,12854,36529,67960,68862,52953,38973,20760,19174,18986,0,
固定资产减值准备(万元),736,--,--,--,--,--,--,--,--,0,0,0,
固定资产(万元),501487,3697,12854,36529,67960,68862,52953,38973,20760,19174,18986,11265,
在建工程(万元),1761649,509103,10650,14831,20253,17045,9622,12399,4402,75,296,390,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
无形资产(万元),170729,88377,84591,25114,41001,20612,12610,8372,8140,8290,6962,3343,
开发支出(万元),4452,--,--,--,--,--,--,--,--,0,0,0,
商誉(万元),79505,--,--,--,--,--,--,--,--,0,0,0,
长期待摊费用(万元),49041,62,--,--,--,--,--,--,--,0,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,0,
递延所得税资产(万元),30558,173,--,16,754,331,289,200,238,229,273,64,
其他非流动资产(万元),66141,176477,518,306,40169,1520,7643,--,--,0,0,0,
非流动资产合计(万元),2673521,788436,108613,78811,170137,108370,83116,59945,33541,27768,26517,15062,
资产总计(万元),3687350,919735,135677,122689,217574,179933,158019,144435,135699,56429,46813,35387,
短期借款(万元),83794,215000,--,5150,14576,--,10000,--,--,3100,13500,6600,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付票据(万元),757,--,--,--,--,--,--,--,--,0,290,2500,
应付账款(万元),413120,277629,10895,6909,8051,6805,6195,5698,2581,3205,3180,4034,
预收账款(万元),1876,341,341,5661,2854,5750,3083,5595,7719,9684,6385,2630,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付职工薪酬(万元),21498,6417,396,644,849,864,721,502,321,298,282,193,
应交税费(万元),2931,4500,33,1347,1640,794,212,-416,916,1035,665,1991,
应付利息(万元),4113,5113,927,1235,1235,1235,--,--,--,0,0,0,
应付股利(万元),--,--,--,--,--,--,15,--,--,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他应付款(万元),26567,61667,32475,1646,889,754,612,477,387,402,348,1639,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
